"DATA_YEAR","OFFENSE_ID","INCIDENT_ID","OFFENSE_TYPE_ID","ATTEMPT_COMPLETE_FLAG","LOCATION_ID","NUM_PREMISES_ENTERED","METHOD_ENTRY_CODE"
2019,139343580,114122664,7,"C",20,,""
2019,139339591,114122668,45,"C",20,,""
2019,139339603,114114683,21,"C",13,,""
2019,139339607,114122695,45,"C",23,,""
2019,139339608,114122697,23,"C",12,,""
2019,139333997,114122703,23,"C",12,,""
2019,139343608,114118560,51,"C",20,,""
2019,139334011,114122716,44,"C",20,,""
2019,139339630,114122719,7,"C",20,,""
2019,139334018,114122726,40,"C",10,,""
2019,139339637,114118570,27,"C",18,,""
2019,139334076,114122758,27,"C",20,,""
2019,139343629,114118587,51,"C",20,,""
2019,139334093,114122768,14,"C",18,,""
2019,139339709,114118623,5,"C",20,,""
2019,139343650,114114756,45,"C",14,,""
2019,139339712,114114756,5,"C",14,,""
2019,139343652,114122806,47,"C",24,,""
2019,139339715,114114761,27,"C",20,,""
2019,139334174,114122823,45,"C",20,,""
2019,139339733,114122831,45,"C",13,,""
2019,139334193,114122837,14,"C",20,,""
2019,139339754,114122847,14,"A",25,,""
2019,139334213,114114793,23,"C",7,,""
2019,139339763,114122861,23,"C",24,,""
2019,139334224,114122867,63,"C",20,,""
2019,139334226,114122868,36,"C",20,,""
2019,139339798,114122884,16,"C",15,,""
2019,139334250,114122895,45,"C",20,,""
2019,139334257,114122900,51,"C",20,,""
2019,139339812,114118693,16,"C",13,,""
2019,139339813,114118693,35,"C",13,,""
2019,139343735,114122906,14,"C",13,,""
2019,139343736,114122906,5,"C",18,,""
2019,139334280,114122919,14,"C",18,,""
2019,139334288,114122923,28,"C",18,,""
2019,139334305,114122935,5,"C",18,,""
2019,139343750,114122939,63,"C",24,,""
2019,139334354,114122962,5,"C",13,,""
2019,139343771,114122965,5,"C",19,,""
2019,139339880,114114859,56,"C",20,,""
2019,139343777,114122977,45,"C",40,,""
2019,139334374,114122989,14,"C",18,,""
2019,139343782,114118769,5,"C",20,,""
2019,139343791,114123001,41,"C",7,,""
2019,139339908,114123005,51,"C",20,,""
2019,139334396,114123008,44,"C",25,,""
2019,139339924,114118784,44,"C",20,,""
2019,139334427,114114892,49,"A",19,1,"F"
2019,139334428,114123028,5,"C",25,,""
2019,139334429,114123029,47,"C",24,,""
2019,139334433,114123032,49,"A",23,,"F"
2019,139334434,114123032,5,"C",23,,""
2019,139334439,114123036,45,"A",8,,""
2019,139334455,114123046,5,"C",20,,""
2019,139339993,114123046,51,"C",20,,""
2019,139343842,114123056,21,"C",13,,""
2019,139334476,114123058,5,"C",5,,""
2019,139334482,114123062,5,"C",25,,""
2019,139334488,114123065,5,"C",20,,""
2019,139334487,114123065,49,"C",20,,"F"
2019,139340008,114123081,16,"C",13,,""
2019,139340014,114123090,21,"C",20,,""
2019,139334522,114123097,21,"C",13,,""
2019,139334527,114123100,51,"C",3,,""
2019,139340028,114123103,43,"C",20,,""
2019,139340029,114123103,51,"C",20,,""
2019,139334534,114114955,49,"C",20,,"F"
2019,139334535,114123107,49,"C",20,,"N"
2019,139334545,114123111,11,"C",25,,""
2019,139334546,114123111,2,"C",25,,""
2019,139340054,114123118,16,"C",38,,""
2019,139334573,114123132,39,"C",24,,""
2019,139334576,114123138,23,"C",8,,""
2019,139334581,114123140,5,"C",20,,""
2019,139334609,114123161,49,"C",20,,"N"
2019,139334610,114123161,41,"A",8,,""
