"DATA_YEAR","AGENCY_ID","INCIDENT_ID","NIBRS_MONTH_ID","CARGO_THEFT_FLAG","SUBMISSION_DATE","INCIDENT_DATE","REPORT_DATE_FLAG","INCIDENT_HOUR","CLEARED_EXCEPT_ID","CLEARED_EXCEPT_DATE","INCIDENT_STATUS","DATA_HOME","ORIG_FORMAT","DID"
2019,1909,122115909,8211322,"",16-MAR-20,22-OCT-19,"R",0,6,,0,"C","F",68962294
2019,1909,122115971,8226646,"",16-MAR-20,22-DEC-19,"R",0,6,,0,"C","F",68957165
2019,1909,121199072,8211322,"",26-FEB-20,01-OCT-19,"",13,6,,0,"C","F",66913170
2019,1909,121199074,8211322,"",26-FEB-20,02-OCT-19,"",10,6,,0,"C","F",66913179
2019,1909,112246115,8142364,"N",19-JUN-19,23-JAN-19,"",17,6,,0,"C","F",48507632
2019,1909,112246127,8150026,"N",19-JUN-19,01-FEB-19,"",14,6,,0,"C","F",48507641
2019,1909,112286515,8173012,"N",19-JUN-19,31-MAY-19,"",16,6,,0,"C","F",48572386
2019,1909,112286519,8173012,"N",19-JUN-19,24-MAY-19,"",18,6,,0,"C","F",48569281
2019,1909,112286465,8165350,"N",19-JUN-19,10-APR-19,"",14,6,,0,"C","F",48572331
2019,1909,112286446,8150026,"N",19-JUN-19,04-FEB-19,"",14,6,,0,"C","F",48572290
2019,1909,112286458,8165350,"N",19-JUN-19,05-APR-19,"",17,6,,0,"C","F",48572323
2019,1909,112286478,8165350,"",19-JUN-19,25-APR-19,"",16,6,,0,"C","F",48569263
2019,1909,112286498,8173012,"N",19-JUN-19,04-MAY-19,"",16,6,,0,"C","F",48572365
2019,1909,112286501,8165350,"",19-JUN-19,19-APR-19,"",12,6,,0,"C","F",48572343
2019,1909,112283972,8157688,"N",19-JUN-19,04-MAR-19,"",0,6,,0,"C","F",48569275
2019,1909,112286482,8165350,"N",19-JUN-19,20-APR-19,"",6,6,,0,"C","F",48572345
2019,1909,112286500,8173012,"",19-JUN-19,03-MAY-19,"",7,6,,0,"C","F",48569268
2019,1909,112286509,8173012,"",19-JUN-19,20-MAY-19,"",2,6,,0,"C","F",48569278
2019,1909,112286480,8165350,"N",19-JUN-19,24-APR-19,"",16,6,,0,"C","F",48572349
2019,1909,112283973,8173012,"",19-JUN-19,12-MAY-19,"",16,6,,0,"C","F",48572370
2019,1909,112246099,8142364,"N",19-JUN-19,02-JAN-19,"",9,6,,0,"C","F",48505615
2019,1909,112246133,8150026,"N",19-JUN-19,02-FEB-19,"",17,6,,0,"C","F",48507646
2019,1909,112246144,8157688,"N",19-JUN-19,01-MAR-19,"",13,6,,0,"C","F",48505657
2019,1909,112246148,8157688,"",19-JUN-19,12-MAR-19,"",11,6,,0,"C","F",48505661
2019,1909,112246160,8157688,"N",19-JUN-19,21-MAR-19,"",12,6,,0,"C","F",48507673
2019,1909,112243564,8142364,"",19-JUN-19,09-JAN-19,"",10,6,,0,"C","F",48507618
2019,1909,112243593,8150026,"N",19-JUN-19,19-FEB-19,"",12,6,,0,"C","F",48507653
2019,1909,112283943,8165350,"",19-JUN-19,01-APR-19,"",1,6,,0,"C","F",48569240
2019,1909,112286467,8165350,"",19-JUN-19,14-APR-19,"",17,6,,0,"C","F",48572333
2019,1909,112286487,8165350,"N",19-JUN-19,26-APR-19,"",16,6,,0,"C","F",48572355
2019,1909,112283967,8173012,"",19-JUN-19,05-MAY-19,"",2,6,,0,"C","F",48569271
2019,1909,112286508,8173012,"",19-JUN-19,22-MAY-19,"",22,6,,0,"C","F",48572378
2019,1909,112286461,8165350,"",19-JUN-19,05-APR-19,"",18,6,,0,"C","F",48572325
2019,1909,112286506,8173012,"",19-JUN-19,18-MAY-19,"",21,6,,0,"C","F",48572372
2019,1909,112286445,8157688,"",19-JUN-19,12-MAR-19,"",8,6,,0,"C","F",48572285
2019,1909,112286466,8165350,"",19-JUN-19,07-APR-19,"",19,6,,0,"C","F",48572330
2019,1909,112283954,8165350,"",19-JUN-19,16-APR-19,"",15,6,,0,"C","F",48572341
2019,1909,112286484,8165350,"",19-JUN-19,23-APR-19,"",13,6,,0,"C","F",48572347
2019,1909,112286493,8173012,"N",19-JUN-19,01-MAY-19,"",16,6,,0,"C","F",48572362
2019,1909,112283968,8173012,"",19-JUN-19,03-MAY-19,"",12,6,,0,"C","F",48572366
2019,1909,112243556,8142364,"N",19-JUN-19,06-JAN-19,"",10,6,,0,"C","F",48505620
2019,1909,112246132,8142364,"N",19-JUN-19,31-JAN-19,"",23,6,,0,"C","F",48505643
2019,1909,112246157,8157688,"",19-JUN-19,26-MAR-19,"",17,6,,0,"C","F",48507671
2019,1909,112246110,8142364,"N",19-JUN-19,17-JAN-19,"",10,6,,0,"C","F",48507627
2019,1909,112246137,8150026,"",19-JUN-19,16-FEB-19,"",21,6,,0,"C","F",48505649
2019,1909,112243611,8157688,"N",19-JUN-19,15-MAR-19,"",9,6,,0,"C","F",48505666
2019,1909,112286456,8142364,"N",19-JUN-19,21-JAN-19,"",8,6,,0,"C","F",48572303
2019,1909,112286462,8165350,"",19-JUN-19,06-APR-19,"",1,6,,0,"C","F",48572327
2019,1909,112243553,8142364,"",19-JUN-19,04-JAN-19,"",12,6,,0,"C","F",48505619
2019,1909,112243571,8142364,"N",19-JUN-19,12-JAN-19,"",14,6,,0,"C","F",48507622
2019,1909,112243561,8142364,"",19-JUN-19,07-JAN-19,"",1,6,,0,"C","F",48505622
2019,1909,112246131,8150026,"",19-JUN-19,16-FEB-19,"",7,6,,0,"C","F",48507651
2019,1909,112246102,8142364,"",19-JUN-19,05-JAN-19,"",17,6,,0,"C","F",48505618
2019,1909,112246108,8142364,"",19-JUN-19,10-JAN-19,"",23,6,,0,"C","F",48505625
2019,1909,112246136,8142364,"N",19-JUN-19,31-JAN-19,"",16,6,,0,"C","F",48505640
2019,1909,112246154,8157688,"N",19-JUN-19,15-MAR-19,"",17,6,,0,"C","F",48505669
2019,1909,117659999,8173012,"",15-NOV-19,12-MAY-19,"",19,6,,0,"C","F",59938967
2019,1909,117649787,8173012,"",15-NOV-19,20-MAY-19,"",18,6,,0,"C","F",59948839
2019,1909,117660070,8203660,"N",15-NOV-19,11-SEP-19,"",16,6,,0,"C","F",59939069
2019,1909,117655565,8188336,"",15-NOV-19,18-JUL-19,"",16,6,,0,"C","F",59948920
2019,1909,112283956,8165350,"",19-JUN-19,10-APR-19,"",12,6,,0,"C","F",48569254
2019,1909,112286481,8165350,"N",19-JUN-19,23-APR-19,"",16,6,,0,"C","F",48572350
2019,1909,112286503,8173012,"N",19-JUN-19,09-MAY-19,"",13,6,,0,"C","F",48572368
2019,1909,112286511,8173012,"N",19-JUN-19,16-MAY-19,"",1,6,,0,"C","F",48569276
2019,1909,112246112,8142364,"N",19-JUN-19,16-JAN-19,"",0,6,,0,"C","F",48505632
2019,1909,112243590,8150026,"N",19-JUN-19,02-FEB-19,"",0,6,,0,"C","F",48507643
2019,1909,112246141,8150026,"N",19-JUN-19,25-FEB-19,"",16,6,,0,"C","F",48505653
2019,1909,112246149,8157688,"",19-JUN-19,11-MAR-19,"",16,6,,0,"C","F",48505665
2019,1909,112246156,8157688,"N",19-JUN-19,15-MAR-19,"",13,6,,0,"C","F",48505667
2019,1909,112243554,8142364,"",19-JUN-19,02-JAN-19,"",10,6,,0,"C","F",48505617
2019,1909,112246117,8142364,"N",19-JUN-19,20-JAN-19,"",12,6,,0,"C","F",48505633
2019,1909,112243599,8150026,"N",19-JUN-19,20-FEB-19,"",20,6,,0,"C","F",48505652
2019,1909,112246147,8150026,"N",19-JUN-19,12-FEB-19,"",15,6,,0,"C","F",48505662
2019,1909,112246158,8157688,"N",19-JUN-19,28-MAR-19,"",5,6,,0,"C","F",48507672
2019,1909,112243557,8142364,"",19-JUN-19,05-JAN-19,"",21,6,,0,"C","F",48507610
2019,1909,112246109,8142364,"N",19-JUN-19,11-JAN-19,"",13,6,,0,"C","F",48505626
2019,1909,112246116,8142364,"",19-JUN-19,01-JAN-19,"",0,6,,0,"C","F",48507631
2019,1909,112243588,8150026,"N",19-JUN-19,05-FEB-19,"",10,6,,0,"C","F",48507647
2019,1909,112246142,8142364,"",19-JUN-19,05-JAN-19,"",8,6,,0,"C","F",48507658
2019,1909,112246126,8142364,"N",19-JUN-19,31-JAN-19,"",20,6,,0,"C","F",48507640
2019,1909,112243598,8150026,"",19-JUN-19,24-FEB-19,"",18,6,,0,"C","F",48507654
2019,1909,112243607,8157688,"",19-JUN-19,12-MAR-19,"",17,6,,0,"C","F",48507665
2019,1909,112286472,8165350,"",19-JUN-19,14-APR-19,"",10,6,,0,"C","F",48572332
2019,1909,112286504,8173012,"N",19-JUN-19,18-MAY-19,"",9,6,,0,"C","F",48572371
2019,1909,112286497,8165350,"N",19-JUN-19,30-APR-19,"",13,6,,0,"C","F",48572361
2019,1909,112283946,8142364,"N",19-JUN-19,08-JAN-19,"",17,6,,0,"C","F",48572310
2019,1909,112286460,8165350,"",19-JUN-19,04-APR-19,"",20,6,,0,"C","F",48572320
2019,1909,112286469,8165350,"N",19-JUN-19,07-APR-19,"",0,6,,0,"C","F",48569252
