OBJECTID,COUNTYNAME,COUNTYFIPS,COUNTYGNIS,NAME_UCASE,POP_1990,POP_2000,ACRES,SQ_MILES,CNTY_SEAT,CO_CLASS,ShapeSTArea,ShapeSTLength
1,Clark,045,758477,CLARK,7547,7416,327632.419997,511.92565625,Kahoka,3,1325887115.86792,164046.437172083
2,Atchison,005,758457,ATCHISON,7457,6430,351990.513001,549.98517656,Rock Port,3,1424484656.53101,183529.686005482
3,Scotland,199,758552,SCOTLAND,4822,4983,280948.966704,438.98276048,Memphis,3,1136968418.48291,135147.562404887
4,Schuyler,197,758551,SCHUYLER,4236,4170,197084.747448,307.94491789,Lancaster,3,797577135.377197,156174.553037376
5,Nodaway,147,758528,NODAWAY,21709,21912,561734.05259,877.70945717,Maryville,3,2273255076.77686,212568.36065221
6,Putnam,171,758540,PUTNAM,5079,5223,332103.314181,518.91142841,Unionville,3,1343983420.58447,210409.615118476
7,Worth,227,758566,WORTH,2440,2382,170725.054101,266.75789703,Grant City,3,690902775.192383,112108.558585603
8,Mercer,129,758519,MERCER,3723,3757,290899.040545,454.52975085,Princeton,3,1177231753.06213,138797.658040743
9,Harrison,081,758495,HARRISON,8469,8850,464591.767708,725.92463704,Bethany,3,1880144328.55408,177341.522521324
10,Gentry,075,758492,GENTRY,6848,6861,314723.661713,491.75572143,Albany,3,1273646992.41772,143259.379265135
11,Sullivan,211,758558,SULLIVAN,6326,7219,416681.520326,651.06487551,Milan,3,1686236905.8114,164531.052876027
12,Adair,001,765805,ADAIR,24577,24977,364190.046383,569.04694747,Kirksville,3,1473840289.83667,155201.834326284
13,Knox,103,758506,KNOX,4482,4361,324121.046164,506.43913463,Edina,3,1311687272.05713,145916.499679708
14,Holt,087,758498,HOLT,6034,5351,301175.948181,470.58741903,Oregon,3,1218809513.86035,206749.593758642
15,Grundy,079,758494,GRUNDY,10536,10432,280124.544873,437.69460136,Trenton,3,1133622229.54102,135425.395198211
16,Lewis,111,758510,LEWIS,10233,10494,326758.114344,510.55955366,Monticello,3,1322348913.46289,153405.978306538
17,Andrew,003,758456,ANDREW,14632,16492,279329.741991,436.45272186,Savannah,3,1130412261.48425,163184.608284674
18,Daviess,061,758485,DAVIESS,7865,8016,364091.349471,568.89273355,Gallatin,3,1473438308.2301,155428.844872216
19,DeKalb,063,758486,DEKALB,9967,11597,272330.563356,425.51650524,Maysville,3,1102087469.7666,132781.343861094
20,Macon,121,758514,MACON,15345,15762,519596.070211,811.8688597,Macon,3,2102742470.78076,191080.88222603
21,Linn,115,758512,LINN,13885,13754,397322.266312,620.81604111,Linneus,3,1607925324.89771,161628.806626185
22,Livingston,117,758513,LIVINGSTON,14592,14558,344478.236213,538.24724408,Chillicothe,3,1394035083.20312,170999.524769398
23,Shelby,205,758555,SHELBY,6942,6799,321195.261283,501.86759575,Shelbyville,3,1299836752.50488,154159.861293837
24,Buchanan,021,758465,BUCHANAN,83083,85998,265600.411477,415.00064293,St Joseph,1,1074849560.05566,161286.76000647
