"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2019,32116382,1,32142617
2019,32102541,1,32128716
2019,32116432,1,32142671
2019,32105584,1,32142680
2019,32116455,1,32128738
2019,32102570,1,32128739
2019,32105598,1,32142702
2019,32102584,1,32128750
2019,32105604,1,32142709
2019,32102586,1,32128754
2019,32116487,1,32142722
2019,32102611,1,32142738
2019,32116509,1,32128788
2019,32105618,1,32142745
2019,32105638,1,32128810
2019,32102652,1,32142799
2019,32105669,1,32131923
2019,32102667,1,32128846
2019,32116608,1,32142831
2019,32102673,1,32142845
2019,32105686,1,32128861
2019,32102688,1,32128875
2019,32102805,1,32128984
2019,32102806,1,32128985
2019,32105807,1,32143029
2019,32102819,1,32143026
2019,32105814,1,32132068
2019,32116837,1,32143066
2019,32102858,1,32129031
2019,32102869,1,32143088
2019,32116856,1,32143087
2019,32116225,1,32142462
2019,32105852,1,32132113
2019,32102914,1,32143133
2019,32102918,1,32129078
2019,32102920,1,32143148
2019,32102942,1,32129101
2019,32116939,1,32143170
2019,32105893,1,32143183
2019,32102977,1,32129132
2019,32103045,1,32129203
2019,32103150,1,32129315
2019,32106059,1,32132317
2019,32103176,1,32129337
2019,32103179,1,32129341
2019,32103211,1,32129372
2019,32117209,1,32143448
2019,32117215,1,32132343
2019,32117217,1,32129383
2019,32117234,1,32143470
2019,32106101,1,32132360
2019,32103256,1,32143502
2019,32106112,1,32132371
2019,32114069,1,32140286
2019,32114612,1,32140804
2019,32114065,1,32140283
2019,32102664,1,32128841
2019,32101042,1,32127202
2019,32115025,1,32141241
2019,32115032,1,32127267
2019,32101111,1,32127279
2019,32115062,1,32141276
2019,32101137,1,32127305
2019,32104714,1,32130987
2019,32115085,7,32141295
2019,32101157,1,32127324
2019,32115101,1,32127338
2019,32104763,1,32127368
2019,32115185,1,32141394
2019,32104808,1,32141395
2019,32115192,1,32141399
2019,32115198,1,32131089
2019,32104834,1,32127405
2019,32101258,1,32127431
2019,32104878,1,32131143
2019,32115262,1,32141479
2019,32104929,1,32127515
2019,32101346,1,32127516
2019,32115332,1,32131193
2019,32104933,1,32131192
2019,32104959,1,32131205
2019,32105166,1,32131416
2019,32101799,1,32127981
2019,32105175,1,32131425
2019,32105176,1,32131426
2019,32105192,1,32131440
2019,32101857,1,32128040
2019,33105782,1,33127011
2019,33109793,1,33131088
2019,33102521,1,33131099
2019,33109834,1,33123820
2019,33106152,1,33131377
2019,33106157,1,33127383
2019,33106214,1,33127447
2019,33106229,1,33127457
2019,33106241,1,33127467
2019,33106243,1,33127469
2019,33106245,1,33127470
2019,33102839,1,33124130
2019,33105742,1,33126972
2019,33105785,1,33127013
2019,33109788,1,33131081
2019,33105792,1,33127020
2019,33109794,1,33127022
2019,33105805,1,33123789
2019,33105871,1,33127090
2019,33102567,1,33127120
