"DATA_YEAR","OFFENDER_ID","INCIDENT_ID","OFFENDER_SEQ_NUM","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2019,130978437,115243752,1,5,54,"M",2,2,54,0
2019,130982474,115243753,0,,,"",,,,
2019,130973899,115243754,1,5,24,"F",1,2,24,0
2019,130978446,115234941,1,5,35,"M",1,2,35,0
2019,130973900,115243757,1,5,28,"M",2,2,28,0
2019,130978452,115243758,2,5,34,"M",1,2,34,0
2019,130978451,115243758,1,5,25,"M",1,2,25,0
2019,130973902,115234949,2,5,28,"F",1,2,28,0
2019,130973901,115234949,1,5,37,"M",1,2,37,0
2019,130973903,115243759,1,5,27,"M",2,2,27,0
2019,130982501,115243760,1,4,,"U",0,3,,
2019,130978462,115243761,0,,,"",,,,
2019,130973909,115243762,0,,,"",,,,
2019,130973910,115243763,1,4,,"U",0,3,,
2019,130982511,115234960,1,4,,"U",0,3,,
2019,130978468,115243764,0,,,"",,,,
2019,130973911,115243765,1,5,38,"F",1,2,38,0
2019,130978471,115243767,1,5,30,"M",1,3,30,0
2019,130978473,115243768,1,5,47,"M",1,2,45,50
2019,130973912,115243769,0,,,"",,,,
2019,130973913,115234971,0,,,"",,,,
2019,130982531,115243770,1,5,51,"M",1,2,51,0
2019,130973915,115243771,1,5,47,"M",1,2,47,0
2019,130973919,115239255,0,,,"",,,,
2019,130973921,115243775,1,5,38,"F",1,2,38,0
2019,130973922,115243776,1,5,24,"F",1,2,24,0
2019,130982546,115239264,1,5,30,"M",1,2,30,0
2019,130982552,115239270,1,5,37,"M",1,1,37,0
2019,130982557,115243779,1,5,45,"M",1,2,45,0
2019,130973927,115243780,1,5,44,"F",1,2,44,0
2019,130973934,115243783,0,,,"",,,,
2019,130978518,115243784,0,,,"",,,,
2019,130973936,115243786,1,5,31,"M",2,2,31,0
2019,130973937,115243787,1,5,19,"M",2,3,19,0
2019,130973938,115243788,1,5,21,"M",1,2,21,0
2019,130978524,115243789,1,4,,"U",0,3,,
2019,130973939,115243790,1,5,18,"M",1,2,18,0
2019,130978527,115235015,0,,,"",,,,
2019,130978529,115235017,1,4,,"U",0,3,,
2019,130973940,115243791,1,5,27,"F",2,2,27,0
2019,130973941,115243792,1,5,38,"F",2,2,38,0
2019,130973943,115243793,1,4,,"U",0,3,,
2019,130978543,115243795,1,5,37,"M",1,2,37,0
2019,130982579,115243796,1,5,35,"M",1,2,35,0
2019,130973947,115243797,1,5,38,"F",2,3,38,0
2019,130973949,115243798,1,5,24,"M",1,2,24,0
2019,130973950,115243800,0,,,"",,,,
2019,130973951,115243801,1,4,,"M",2,2,,
2019,130982589,115243802,1,5,56,"M",1,2,56,0
2019,130982594,115239313,1,5,29,"F",1,2,29,0
2019,130982597,115243804,1,4,,"U",0,3,,
2019,130973952,115243805,1,5,37,"F",2,2,37,0
2019,130982602,115239319,1,4,,"M",0,3,,
2019,130973954,115243806,1,5,47,"M",1,2,47,0
2019,130982606,115243807,1,4,,"U",0,3,,
2019,130973956,115243811,0,,,"",,,,
2019,130982613,115239326,1,4,,"U",0,3,,
2019,130982616,115243812,1,5,16,"M",1,2,16,0
2019,130982618,115243813,0,,,"",,,,
2019,130973960,115243814,0,,,"",,,,
2019,130982620,115243816,1,5,33,"F",1,2,33,0
2019,130973962,115243817,0,,,"",,,,
2019,130982623,115243818,1,5,21,"M",1,3,21,0
2019,130973965,115243819,2,5,30,"F",1,2,30,0
2019,130973964,115243819,1,5,34,"M",1,2,34,0
2019,130973966,115243820,1,5,25,"M",1,1,25,0
2019,130973967,115243820,2,5,30,"M",1,1,30,0
2019,130973968,115243820,3,5,24,"M",1,1,24,0
2019,130982633,115243821,1,5,36,"M",1,2,36,0
2019,130982632,115243821,2,5,20,"F",1,2,20,0
2019,130973974,115243823,1,4,,"M",1,2,,
2019,130973975,115239359,1,5,37,"M",1,2,37,0
2019,130973976,115243826,1,5,23,"M",2,2,23,0
2019,130978607,115243827,2,5,41,"M",1,2,41,0
2019,130978606,115243827,1,5,43,"M",1,2,43,0
2019,130973981,115243829,1,4,,"F",1,3,,
2019,130982672,115243830,0,,,"",,,,
2019,130973984,115235098,1,5,44,"M",1,2,44,0
2019,130973985,115243831,1,4,,"U",0,3,,
2019,130973986,115243832,1,4,,"U",0,3,,
2019,130973991,115243833,0,,,"",,,,
2019,130982682,115243834,0,,,"",,,,
2019,130978635,115243836,1,5,21,"F",1,2,21,0
2019,130982695,115243838,0,,,"",,,,
2019,130978648,115243840,0,,,"",,,,
2019,130982700,115235123,1,5,27,"M",2,2,27,0
2019,130982710,115243844,2,5,27,"F",1,3,27,0
