"DATA_YEAR","OFFENSE_ID","INCIDENT_ID","OFFENSE_TYPE_ID","ATTEMPT_COMPLETE_FLAG","LOCATION_ID","NUM_PREMISES_ENTERED","METHOD_ENTRY_CODE"
2019,133892120,109265381,45,"C",7,,""
2019,133892125,109259840,16,"C",13,,""
2019,133887750,109266759,41,"C",47,,""
2019,133887762,109265397,35,"C",12,,""
2019,133882715,109259897,21,"C",20,,""
2019,133892218,109259916,8,"C",20,,""
2019,133882828,109265530,5,"C",36,,""
2019,133882834,109259970,51,"C",20,,""
2019,133887959,109265548,35,"C",13,,""
2019,133892307,109265563,23,"C",12,,""
2019,133892322,109266971,16,"C",14,,""
2019,133882873,109266971,35,"C",14,,""
2019,133882872,109266971,28,"C",13,,""
2019,133882890,109265587,16,"C",20,,""
2019,133882889,109265587,35,"C",20,,""
2019,133882897,109265594,45,"C",20,,""
2019,133888043,109260028,14,"C",18,,""
2019,133888230,109260168,40,"C",8,,""
2019,133883122,109265779,16,"C",18,,""
2019,133883121,109265779,35,"C",18,,""
2019,133888256,109260178,51,"C",18,,""
2019,133883202,109260215,5,"C",42,,""
2019,133892570,109267234,45,"C",20,,""
2019,133892576,109260235,23,"C",12,,""
2019,133888372,109265894,47,"C",20,,""
2019,133883300,109267311,49,"C",20,,"F"
2019,133892640,109267320,23,"C",8,,""
2019,133888426,109260313,51,"C",1,,""
2019,133892682,109260340,23,"C",8,,""
2019,133888478,109260355,49,"C",19,1,"F"
2019,133883427,109266026,16,"C",13,,""
2019,133883454,109266044,51,"C",20,,""
2019,133892780,109260435,23,"C",23,,""
2019,133883763,109271297,2,"A",2,,""
2019,133888862,109260680,47,"C",5,,""
2019,133888867,109260686,14,"C",13,,""
2019,133888905,109260706,14,"C",14,,""
2019,133883867,109260741,28,"C",13,,""
2019,133893165,109260750,51,"C",35,,""
2019,133889031,109271433,5,"C",20,,""
2019,133883952,109260788,16,"C",13,,""
2019,133893296,109271507,35,"C",13,,""
2019,133893295,109271507,16,"C",13,,""
2019,133889165,109260878,51,"C",38,,""
2019,132165719,107723093,51,"C",20,,""
2019,132141124,107718020,16,"C",13,,""
2019,132141126,107718020,35,"C",13,,""
2019,132161186,107718076,7,"C",13,,""
2019,132156243,107718107,51,"C",38,,""
2019,132161229,107718107,35,"C",38,,""
2019,132161238,107718117,16,"C",13,,""
2019,132161248,107700859,11,"C",2,,""
2019,132161250,107714652,35,"C",13,,""
2019,132161251,107714652,16,"C",13,,""
2019,132161319,107718193,51,"C",25,,""
2019,132156387,107718230,27,"C",20,,""
2019,132161374,107700970,16,"C",25,,""
2019,132156405,107700970,35,"C",25,,""
2019,132161413,107718289,16,"C",13,,""
2019,132161412,107718289,35,"C",13,,""
2019,132161440,107718307,23,"C",12,,""
