"Fact","Fact Note","Olympia city, Washington","Value Note for Olympia city, Washington","United States","Value Note for United States"
"Population estimates, July 1, 2019,  (V2019)","","52,882","","328,239,523",""
"Population estimates base, April 1, 2010,  (V2019)","","46,884","","308,758,105",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","12.8%","","6.3%",""
"Population, Census, April 1, 2020","","55,605","","331,449,281",""
"Population, Census, April 1, 2010","","46,478","","308,745,538",""
"Persons under 5 years, percent","","5.0%","","6.0%",""
"Persons under 18 years, percent","","18.0%","","22.3%",""
"Persons 65 years and over, percent","","17.5%","","16.5%",""
"Female persons, percent","","51.2%","","50.8%",""
"White alone, percent","","82.1%","","76.3%",""
"Black or African American alone, percent","(a)","2.6%","","13.4%",""
"American Indian and Alaska Native alone, percent","(a)","1.0%","","1.3%",""
"Asian alone, percent","(a)","7.1%","","5.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.6%","","0.2%",""
"Two or More Races, percent","","5.3%","","2.8%",""
"Hispanic or Latino, percent","(b)","8.9%","","18.5%",""
"White alone, not Hispanic or Latino, percent","","75.9%","","60.1%",""
"Veterans, 2015-2019","","3,789","","18,230,322",""
"Foreign born persons, percent, 2015-2019","","9.5%","","13.6%",""
"Housing units,  July 1, 2019,  (V2019)","","X","","139,684,244",""
"Owner-occupied housing unit rate, 2015-2019","","47.0%","","64.0%",""
"Median value of owner-occupied housing units, 2015-2019","","$297,200","","$217,500",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$1,787","","$1,595",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$579","","$500",""
"Median gross rent, 2015-2019","","$1,145","","$1,062",""
"Building permits, 2020","","X","","1,471,141",""
"Households, 2015-2019","","22,409","","120,756,048",""
"Persons per household, 2015-2019","","2.24","","2.62",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","74.5%","","85.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","13.1%","","21.6%",""
"Households with a computer, percent, 2015-2019","","92.8%","","90.3%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","82.4%","","82.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","92.6%","","88.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","43.6%","","32.1%",""
"With a disability, under age 65 years, percent, 2015-2019","","10.1%","","8.6%",""
"Persons  without health insurance, under age 65 years, percent","","7.3%","","9.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","61.1%","","63.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","57.6%","","58.3%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","166,434","","708,138,598",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","1,143,263","","2,040,441,203",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","205,865","","5,696,729,632",""
"Total retail sales, 2012 ($1,000)","(c)","1,396,730","","4,219,821,871",""
"Total retail sales per capita, 2012","(c)","$29,283","","$13,443",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","21.3","","26.9",""
"Median household income (in 2019 dollars), 2015-2019","","$59,878","","$62,843",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$35,170","","$34,103",""
"Persons in poverty, percent","","15.7%","","10.5%",""
"Total employer establishments, 2019","","X","","7,959,103",""
"Total employment, 2019","","X","","132,989,428",""
"Total annual payroll, 2019 ($1,000)","","X","","7,428,553,593",""
"Total employment, percent change, 2018-2019","","X","","1.6%",""
"Total nonemployer establishments, 2018","","X","","26,485,532",""
"All firms, 2012","","5,567","","27,626,360",""
"Men-owned firms, 2012","","2,621","","14,844,597",""
"Women-owned firms, 2012","","1,961","","9,878,397",""
"Minority-owned firms, 2012","","690","","7,952,386",""
"Nonminority-owned firms, 2012","","4,487","","18,987,918",""
"Veteran-owned firms, 2012","","601","","2,521,682",""
"Nonveteran-owned firms, 2012","","4,424","","24,070,685",""
"Population per square mile, 2010","","2,608.1","","87.4",""
"Land area in square miles, 2010","","17.82","","3,531,905.43",""
"FIPS Code","","""5351300""","","""1""",""
"","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","",""
"","","","","",""
"Value Notes","","","","",""
"None","","","","",""
"","","","","",""
"Fact Notes","","","","",""
"(a)","Includes persons reporting only one race","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","",""
"","","","","",""
"Value Flags","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","",""
"F","Fewer than 25 firms","","","",""
"FN","Footnote on this item in place of data","","","",""
"NA","Not available","","","",""
"S","Suppressed; does not meet publication standards","","","",""
"X","Not applicable","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","",""
