"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
94802019,9480,2019,"MO0010600","MO0010600","","N","N",,"I","TRUMAN STATE UNIVERSITY","TRUMAN STATE UNIVERSITY","Truman State University","","A",28,"Missouri","MO","MO","4","West North Central","2","Midwest","Region II","University or College",0,23376,"MOUCR0001","Missouri State Highway Patrol UCR Program Office CRID/CJIS Section","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","N",,,,,,,0,0,01-OCT-05,01-SEP-19,01-SEP-19,01-SEP-19,01-SEP-19,01-SEP-19,"N","ADAIR","Non-MSA","Y","Y","Y"
95072019,9507,2019,"MO0070200","MO0070200","","N","N",,"I","BUTLER","BUTLER","Butler","","A",28,"Missouri","MO","MO","4","West North Central","2","Midwest","Region II","City",4017,23376,"MOUCR0001","Missouri State Highway Patrol UCR Program Office CRID/CJIS Section","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",9,4,13,0,2,2,0,0,01-OCT-05,01-DEC-19,01-DEC-19,01-APR-20,01-APR-20,01-APR-20,"N","BATES","Kansas City, MO-KS","Y","Y","Y"
95092019,9509,2019,"MO0080000","MO0080000","","N","N",,"I","BENTON","BENTON","Benton","","A",28,"Missouri","MO","MO","4","West North Central","2","Midwest","Region II","County",14763,23376,"MOUCR0001","Missouri State Highway Patrol UCR Program Office CRID/CJIS Section","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",15,7,22,2,3,5,0,0,01-OCT-05,01-OCT-17,01-OCT-17,01-MAR-20,01-MAR-20,01-MAR-20,"N","BENTON","Non-MSA","Y","Y","Y"
95172019,9517,2019,"MO0100200","MO0100200","","N","N",,"I","COLUMBIA","COLUMBIA","Columbia","","A",28,"Missouri","MO","MO","4","West North Central","2","Midwest","Region II","City",125017,23376,"MOUCR0001","Missouri State Highway Patrol UCR Program Office CRID/CJIS Section","N",6,"2","Cities from 100,000 thru 249,999","2","Cities from 100,000 thru 249,999","Y",1,"R","Y",134,16,150,24,21,45,0,0,01-OCT-05,01-OCT-19,01-OCT-19,01-OCT-19,01-OCT-19,01-OCT-19,"N","BOONE","Columbia, MO","Y","Y","Y"
95222019,9522,2019,"MO0110000","MO0110000","","N","N",,"I","BUCHANAN","BUCHANAN","Buchanan","","A",28,"Missouri","MO","MO","4","West North Central","2","Midwest","Region II","County",12499,23376,"MOUCR0001","Missouri State Highway Patrol UCR Program Office CRID/CJIS Section","Y",21,"9C","MSA counties from 10,000 thru 24,999","9","MSA Counties","N",3,"R","Y",58,13,71,11,24,35,0,0,01-OCT-05,01-MAR-18,01-MAR-18,01-FEB-19,01-APR-18,01-APR-18,"N","BUCHANAN","St. Joseph, MO-KS","Y","Y","Y"
95232019,9523,2019,"MO0110100","MO0110100","","N","N",,"I","ST. JOSEPH","ST. JOSEPH","St. Joseph","","A",28,"Missouri","MO","MO","4","West North Central","2","Midwest","Region II","City",75872,23376,"MOUCR0001","Missouri State Highway Patrol UCR Program Office CRID/CJIS Section","N",7,"3","Cities from 50,000 thru 99,999","3","Cities from 50,000 thru 99,999","N",2,"R","Y",113,6,119,17,37,54,0,0,01-OCT-05,01-FEB-18,01-FEB-18,01-FEB-19,01-MAR-18,01-MAR-18,"N","BUCHANAN","St. Joseph, MO-KS","Y","Y","Y"
95252019,9525,2019,"MO0111100","MO0111100","","N","N",,"I","MO WESTERN STATE UNIVERS","MO WESTERN STATE UNIVERS","Missouri Western State University","","A",28,"Missouri","MO","MO","4","West North Central","2","Midwest","Region II","University or College",0,23376,"MOUCR0001","Missouri State Highway Patrol UCR Program Office CRID/CJIS Section","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",7,1,8,1,2,3,0,0,01-OCT-05,01-MAR-18,01-MAR-18,01-FEB-19,01-APR-18,01-APR-18,"N","BUCHANAN","St. Joseph, MO-KS","Y","Y","Y"
95262019,9526,2019,"MO0120000","MO0120000","","N","N",,"I","BUTLER","BUTLER","Butler","","A",28,"Missouri","MO","MO","4","West North Central","2","Midwest","Region II","County",25075,23376,"MOUCR0001","Missouri State Highway Patrol UCR Program Office CRID/CJIS Section","N",14,"8B","Non-MSA counties from 25,000 thru 99,999","8","Non-MSA Counties","N",3,"R","Y",29,6,35,1,7,8,0,0,01-OCT-05,01-DEC-19,01-DEC-19,01-DEC-19,01-DEC-19,01-DEC-19,"N","BUTLER","Non-MSA","Y","Y","Y"
95302019,9530,2019,"MO0130000","MO0130000","","N","N",,"I","CALDWELL","CALDWELL","Caldwell","","A",28,"Missouri","MO","MO","4","West North Central","2","Midwest","Region II","County",5980,23376,"MOUCR0001","Missouri State Highway Patrol UCR Program Office CRID/CJIS Section","Y",22,"9D","MSA counties under 10,000","9","MSA Counties","N",3,"R","Y",9,20,29,1,19,20,0,0,01-OCT-05,01-JAN-17,01-JAN-17,01-MAR-19,01-MAR-17,01-MAR-17,"N","CALDWELL","Kansas City, MO-KS","Y","Y","Y"
95332019,9533,2019,"MO0130300","MO0130300","","N","N",,"I","HAMILTON","HAMILTON","Hamilton","","A",28,"Missouri","MO","MO","4","West North Central","2","Midwest","Region II","City",1694,23376,"MOUCR0001","Missouri State Highway Patrol UCR Program Office CRID/CJIS Section","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",4,0,4,1,0,1,0,0,01-OCT-05,01-NOV-19,01-NOV-19,01-FEB-20,01-FEB-20,01-FEB-20,"N","CALDWELL","Kansas City, MO-KS","Y","Y","Y"
