Key,Value
Aggravated Assault,6544
All Other Offenses (Except Traffic),56890
Arson,101
Burglary,2893
Curfew and Loitering Law Violations,294
Disorderly Conduct,6236
Driving Under the Influence,16042
Drug Abuse Violations - Grand Total,31744
Drunkenness,173
Embezzlement,200
Forgery and Counterfeiting,888
Fraud,2118
Gambling - Total,26
Human Trafficking - Commercial Sex Acts,9
Human Trafficking - Involuntary Servitude,2
Larceny - Theft,16370
Liquor Laws,2818
Manslaughter by Negligence,34
Motor Vehicle Theft,2430
Murder and Nonnegligent Manslaughter,302
Offenses Against the Family and Children,1322
Prostitution and Commercialized Vice,161
Rape,464
Robbery,1212
"Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",670
Simple Assault,16089
"Stolen Property: Buying, Receiving, Possessing",3227
Suspicion,0
Vagrancy,998
Vandalism,2946
"Weapons: Carrying, Possessing, Etc.",3097
