"2020
rank",City,State[c],"2020
census","2010
census",Change,2016 land area,,2016 population density,,Location,CIT program,Start,Source,Other programs,
1,New York[d],New York,"8,804,190","8,175,133",0.0769,301.5 sq mi,780.9 km2,"28,317/sq mi","10,933/km2",40.66°N 73.93°W,TRUE,2015,https://www1.nyc.gov/assets/doi/reports/pdf/2017/2017-01-19-OIGNYPDCIT-Report.pdf,,
2,Los Angeles,California,"3,898,747","3,792,621",0.028,468.7 sq mi,"1,213.9 km2","8,484/sq mi","3,276/km2",34.01°N 118.41°W,,2003,,,
3,Chicago,Illinois,"2,746,388","2,695,598",0.0188,227.3 sq mi,588.7 km2,"11,900/sq mi","4,600/km2",41.83°N 87.68°W,,2004,,,
4,Houston,Texas,"2,304,580","2,100,263",0.0973,637.5 sq mi,"1,651.1 km2","3,613/sq mi","1,395/km2",29.78°N 95.39°W,,1999,,,
5,Phoenix,Arizona,"1,608,139","1,445,632",0.1124,517.6 sq mi,"1,340.6 km2","3,120/sq mi","1,200/km2",33.57°N 112.09°W,,2000,,,
6,Philadelphia[e],Pennsylvania,"1,603,797","1,526,006",0.051,134.2 sq mi,347.6 km2,"11,683/sq mi","4,511/km2",40.00°N 75.13°W,,2007,,,
7,San Antonio,Texas,"1,434,625","1,327,407",0.0808,461.0 sq mi,"1,194.0 km2","3,238/sq mi","1,250/km2",29.47°N 98.52°W,,2005,,,
8,San Diego,California,"1,386,932","1,307,402",0.0608,325.2 sq mi,842.3 km2,"4,325/sq mi","1,670/km2",32.81°N 117.13°W,,1996,,,
9,Dallas,Texas,"1,304,379","1,197,816",0.089,340.9 sq mi,882.9 km2,"3,866/sq mi","1,493/km2",32.79°N 96.76°W,,,,,
10,San Jose,California,"1,013,240","945,942",0.0711,177.5 sq mi,459.7 km2,"5,777/sq mi","2,231/km2",37.29°N 121.81°W,TRUE,2018,https://sanjosespotlight.com/sanchez-krey-and-oberhelman-crisis-intervention-training-for-law-enforcement/,,
11,Austin,Texas,"961,855","790,390",0.2169,312.7 sq mi,809.9 km2,"3,031/sq mi","1,170/km2",30.30°N 97.75°W,TRUE,1999,,,
12,Jacksonville[f],Florida,"949,611","821,784",0.1555,747.4 sq mi,"1,935.8 km2","1,178/sq mi",455/km2,30.33°N 81.66°W,TRUE,2004,,,
13,Fort Worth,Texas,"918,915","741,206",0.2398,342.9 sq mi,888.1 km2,"2,491/sq mi",962/km2,32.78°N 97.34°W,TRUE,9/2017,https://police.fortworthtexas.gov/Support/crisis-intervention-team,,
14,Columbus,Ohio,"905,748","787,033",0.1508,218.5 sq mi,565.9 km2,"3,936/sq mi","1,520/km2",39.98°N 82.98°W,TRUE,2018,https://denisonian.com/2020/11/news/columbus-pd-implements-crisis-intervention-training/,,
15,Indianapolis[g],Indiana,"887,642","820,445",0.0819,361.5 sq mi,936.3 km2,"2,366/sq mi",914/km2,39.77°N 86.14°W,included in MCAT,2016,https://ppidb.iu.edu/Uploads/PublicationFiles/MCAT%20Pilot%20Evaluation%20Final%20Report.pdf,MCAT,
16,Charlotte,North Carolina,"874,579","731,424",0.1957,305.4 sq mi,791.0 km2,"2,757/sq mi","1,064/km2",35.20°N 80.83°W,TRUE,2004,,,
17,San Francisco[h],California,"873,965","805,235",0.0854,46.9 sq mi,121.5 km2,"18,569/sq mi","7,170/km2",37.72°N 123.03°W,TRUE,2011,https://www.sanfranciscopolice.org/your-sfpd/explore-department/crisis-intervention-team-cit,coresponder,2016
18,Seattle,Washington,"737,015","608,660",0.2109,83.8 sq mi,217.0 km2,"8,405/sq mi","3,245/km2",47.62°N 122.35°W,TRUE,2014,https://www.seattle.gov/police/about-us/crisis-response-team,,
19,Denver[i],Colorado,"715,522","600,158",0.1922,153.3 sq mi,397.0 km2,"4,521/sq mi","1,746/km2",39.76°N 104.88°W,TRUE,2002,,,
20,Washington[j],District of Columbia,"689,545","601,723",0.146,61.1 sq mi,158.2 km2,"11,148/sq mi","4,304/km2",38.90°N 77.01°W,TRUE,2009,,,
21,Nashville[k],Tennessee,"689,447","601,222",0.1467,475.9 sq mi,"1,232.6 km2","1,388/sq mi",536/km2,36.17°N 86.78°W,TRUE,2021,,,
22,Oklahoma City,Oklahoma,"681,054","579,999",0.1742,606.3 sq mi,"1,570.3 km2","1,053/sq mi",407/km2,35.46°N 97.51°W,TRUE,2002,,,
23,El Paso,Texas,"678,815","649,121",0.0457,256.8 sq mi,665.1 km2,"2,660/sq mi","1,030/km2",31.84°N 106.42°W,TRUE,2019,https://elpasomatters.org/2021/03/18/el-paso-police-changing-approach-to-mental-health-crises/,,
24,Boston,Massachusetts,"675,647","617,594",0.094,48.3 sq mi,125.1 km2,"13,938/sq mi","5,381/km2",42.33°N 71.02°W,TRUE,7/2013,https://www.metrobostoncit.org/history,,
