"DATA_YEAR","OFFENDER_ID","INCIDENT_ID","OFFENDER_SEQ_NUM","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2019,136106395,119767401,2,5,23,"M",1,2,23,0
2019,136106394,119767401,1,5,20,"F",2,2,20,0
2019,136106412,119760074,0,,,"",,,,
2019,136098077,119767421,1,4,,"M",2,,,
2019,136098078,119767421,2,4,,"M",2,,,
2019,137837362,121261526,0,,,"",,,,
2019,137847901,121261534,1,5,38,"F",2,2,38,0
2019,136105553,119766591,1,5,13,"F",2,3,13,0
2019,136105581,119766608,1,5,38,"M",1,2,38,0
2019,136101827,119766616,1,5,27,"F",1,2,27,0
2019,136097699,119754511,1,5,26,"M",1,2,26,0
2019,136105608,119759389,1,5,24,"U",0,,18,30
2019,136097709,119754519,1,5,25,"M",2,2,25,0
2019,136097713,119754522,1,5,19,"U",0,3,19,0
2019,136097714,119754523,1,5,38,"M",2,2,38,0
2019,136097716,119754525,1,5,29,"M",2,2,29,0
2019,136105659,119759439,1,4,,"U",0,,,
2019,136097718,119754528,1,5,41,"F",2,3,41,0
2019,136097719,119754529,1,5,19,"U",0,3,19,0
2019,136097722,119754532,1,4,,"F",1,2,,
2019,136101894,119754533,0,,,"",,,,
2019,136105701,119754538,1,5,24,"M",1,,24,0
2019,136105712,119759473,1,5,17,"F",2,,17,0
2019,136097727,119754541,1,4,,"U",0,,,
2019,136097732,119754544,1,5,36,"M",2,2,36,0
2019,136101913,119754545,0,,,"",,,,
2019,136105779,119759531,0,,,"",,,,
2019,136097749,119754559,1,5,32,"F",2,,32,0
2019,136097751,119754561,1,5,18,"M",0,1,18,0
2019,136097754,119754565,1,4,,"M",2,2,,
2019,136097756,119754566,0,,,"",,,,
2019,136101975,119766759,0,,,"",,,,
2019,136101981,119759558,1,5,48,"M",2,2,48,0
2019,136097767,119754571,0,,,"",,,,
2019,136105825,119759566,1,5,55,"M",1,2,55,0
2019,136097770,119754576,0,,,"",,,,
2019,136097773,119754578,1,5,17,"M",2,,17,0
2019,136097774,119754581,0,,,"",,,,
2019,136097780,119754587,0,,,"",,,,
2019,136105868,119754590,0,,,"",,,,
2019,136097794,119754597,1,5,76,"F",1,2,76,0
2019,136105904,119766839,1,5,24,"M",1,,24,0
2019,136102088,119766872,1,5,19,"M",2,2,19,0
2019,136102095,119759692,0,,,"",,,,
2019,136105977,119754608,0,,,"",,,,
2019,136097809,119754610,1,4,,"M",2,,,
2019,136102104,119754611,1,5,55,"M",2,2,55,0
2019,136097811,119759709,1,5,22,"M",2,2,22,0
2019,136097813,119754614,1,5,35,"M",2,2,35,0
2019,136097814,119754614,2,5,46,"M",2,2,46,0
2019,136106001,119754616,1,5,35,"M",1,2,35,0
2019,136097819,119754618,1,5,30,"M",1,2,30,0
2019,136097825,119754624,1,5,41,"F",1,3,41,0
2019,136097826,119754624,2,5,35,"M",1,3,30,40
2019,136097829,119754626,1,4,,"U",0,,,
2019,136097833,119754629,0,,,"",,,,
2019,136102139,119754637,1,4,,"U",0,,,
2019,136097841,119754638,1,5,13,"F",1,,13,0
2019,136097845,119754642,1,5,47,"F",1,2,47,0
2019,136097848,119754644,0,,,"",,,,
2019,136106060,119754647,0,,,"",,,,
2019,136102175,119754650,1,4,,"M",1,2,,
2019,136097859,119754652,1,5,30,"F",1,,20,40
2019,136097865,119754656,1,5,29,"M",2,,29,0
2019,136102199,119754658,1,5,28,"M",1,2,28,0
2019,136102200,119754658,2,5,26,"F",1,2,26,0
2019,136097869,119754660,1,4,,"M",0,,,
2019,136102207,119754662,1,5,32,"U",0,,25,40
2019,136097872,119754663,1,5,19,"M",1,2,18,20
2019,136102214,119767006,1,5,22,"M",1,1,22,0
2019,136102220,119754664,1,5,28,"M",1,2,28,0
2019,136097874,119754665,1,5,31,"M",1,,31,0
2019,136097876,119767026,1,5,53,"M",1,2,53,0
2019,136106109,119759814,0,,,"",,,,
2019,136102253,119754671,1,5,38,"F",1,2,38,0
2019,136102259,119754673,1,5,22,"M",2,,22,0
2019,136097890,119754675,1,5,11,"F",0,,11,0
2019,136102268,119754676,0,,,"",,,,
2019,136102274,119754679,0,,,"",,,,
2019,136102281,119767065,1,4,,"M",2,,,
2019,136102297,119754685,1,5,21,"M",2,,21,0
2019,136102304,119754687,1,5,57,"M",2,,57,0
2019,136097912,119754691,1,5,47,"F",1,2,47,0
2019,136097913,119754691,2,5,48,"M",1,2,48,0
2019,136106145,119754693,0,,,"",,,,
2019,136106148,119767103,1,5,27,"F",1,,27,0
2019,136102321,119767105,2,5,27,"F",1,2,27,0
2019,136102320,119767105,1,5,27,"M",2,2,27,0
2019,136097926,119759856,2,5,25,"M",1,2,20,30
2019,136106153,119759856,1,5,29,"F",1,2,29,0
2019,136102331,119759858,2,5,33,"M",2,,33,0
2019,136102330,119759858,1,5,29,"F",2,,29,0
2019,136097929,119754696,1,5,35,"M",1,,21,50
2019,136102337,119767121,1,4,,"U",0,,,
2019,136102341,119754698,1,5,36,"F",1,3,36,0
2019,136102344,119754699,1,5,18,"U",0,,18,0
2019,136106167,119754701,1,5,29,"F",1,,18,40
2019,136102352,119767135,1,5,47,"M",1,2,47,0
2019,136102353,119767135,2,5,24,"M",1,2,24,0
2019,136106172,119759870,1,5,30,"M",2,,30,0
2019,136097939,119754706,1,5,24,"F",2,2,24,0
2019,136102361,119754707,1,5,15,"M",1,,15,0
2019,136102366,119767160,1,5,17,"F",1,,17,0
2019,136097952,119754712,1,5,21,"M",1,2,21,0
2019,136102377,119767169,1,5,44,"U",0,,18,70
2019,136097957,119767176,1,5,50,"F",1,,50,0
2019,136102388,119754717,0,,,"",,,,
2019,136102393,119754718,1,5,30,"U",0,,25,35
2019,136097962,119759903,1,5,20,"M",1,1,20,0
2019,136097967,119759908,1,5,46,"M",1,2,46,0
2019,136106215,119754723,1,5,23,"M",2,,23,0
2019,136106220,119754725,1,4,,"M",1,2,,
2019,136097970,119754727,1,5,14,"F",2,,14,0
2019,136097976,119754732,1,4,,"U",0,,,
2019,136106240,119754736,1,4,,"U",0,,,
2019,136106241,119767248,1,5,35,"U",0,,30,40
2019,136106246,119754740,1,5,25,"M",2,,20,30
2019,136102477,119767259,0,,,"",,,,
2019,136106255,119767261,1,5,30,"F",2,,30,0
2019,136102499,119759960,1,5,32,"U",0,,25,40
2019,136106280,119754754,1,5,20,"M",2,,20,0
2019,136106285,119754757,1,5,33,"M",2,,33,0
2019,136102517,119767299,1,5,36,"M",2,,36,0
2019,136106303,119759986,1,5,21,"F",2,3,21,0
2019,136102537,119767314,0,,,"",,,,
2019,136098023,119754788,0,,,"",,,,
2019,136106348,119767347,1,5,23,"M",2,,23,0
2019,136106358,119754796,1,5,23,"M",1,2,23,0
2019,136102603,119767371,1,4,,"M",2,,,
2019,136106379,119760053,0,,,"",,,,
2019,136098076,119767417,1,5,38,"F",1,2,38,0
2019,136106434,119754850,1,5,20,"M",2,3,20,0
2019,136098093,119767436,0,,,"",,,,
2019,136098097,119754841,2,5,46,"M",1,2,46,0
2019,136098098,119754841,4,5,31,"M",1,2,31,0
2019,136102657,119754841,3,5,23,"F",1,3,23,0
2019,136098108,119760092,1,4,,"M",2,,,
2019,136106435,119754851,1,4,,"U",0,,,
2019,136106439,119760098,0,,,"",,,,
2019,136106440,119760099,1,4,,"U",0,,,
2019,136098126,119767471,1,5,30,"M",1,2,30,0
2019,136106454,119760114,1,5,60,"M",1,3,60,0
