"DATA_YEAR","OFFENSE_ID","INCIDENT_ID","OFFENSE_TYPE_ID","ATTEMPT_COMPLETE_FLAG","LOCATION_ID","NUM_PREMISES_ENTERED","METHOD_ENTRY_CODE"
2019,144211569,118971564,45,"C",20,,""
2019,144211578,118971577,14,"C",21,,""
2019,144211587,118971583,5,"C",20,,""
2019,144211591,118971585,36,"C",13,,""
2019,144211598,118971593,2,"C",20,,""
2019,144211605,118971597,51,"C",20,,""
2019,144204207,118971597,5,"C",20,,""
2019,144211617,118971605,51,"C",20,,""
2019,138986915,113818249,16,"C",13,,""
2019,138986922,113823223,16,"C",13,,""
2019,138981650,113818253,45,"C",20,,""
2019,138991597,113818255,11,"C",2,,""
2019,138986932,113828320,49,"C",5,,"F"
2019,138981662,113828327,14,"C",5,,""
2019,138991616,113828332,45,"C",14,,""
2019,138981668,113818272,44,"C",20,,""
2019,138991625,113823262,44,"C",7,,""
2019,138981677,113823279,27,"C",13,,""
2019,138991648,113828350,45,"C",20,,""
2019,138981690,113823293,11,"C",2,,""
2019,138981692,113828365,45,"C",20,,""
2019,138981694,113823297,14,"A",13,,""
2019,138987002,113823299,23,"C",8,,""
2019,138987018,113818299,21,"C",20,,""
2019,138987019,113823316,45,"C",24,,""
2019,138987026,113823323,40,"C",14,,""
2019,138987035,113823332,16,"C",13,,""
2019,138981719,113828379,16,"C",14,,""
2019,138991662,113828379,39,"C",14,,""
2019,138981720,113828379,35,"C",14,,""
2019,138981724,113823347,51,"C",20,,""
2019,138991699,113823372,16,"C",25,,""
2019,138991706,113818322,2,"C",20,,""
2019,138981736,113818326,49,"C",5,,"N"
2019,138981757,113823402,45,"C",20,,""
2019,138991759,113828477,49,"C",4,,"N"
2019,138981772,113823417,45,"C",20,,""
2019,138987168,113818383,2,"C",5,,""
2019,138981793,113828520,45,"C",20,,""
2019,138987286,113818485,14,"C",20,,""
2019,138991615,113828333,47,"C",21,,""
2019,138991638,113828339,51,"C",20,,""
2019,138986980,113823285,11,"C",25,,""
2019,138986988,113823291,14,"C",20,,""
2019,138986992,113828360,14,"C",18,,""
2019,138986999,113823298,45,"C",8,,""
2019,138987000,113823298,41,"C",8,,""
2019,138987007,113818294,16,"C",18,,""
2019,138987029,113823326,47,"C",20,,""
2019,138981714,113818303,16,"C",8,,""
2019,138981713,113818303,23,"C",8,,""
2019,138981716,113823338,51,"C",20,,""
2019,138987042,113823348,63,"C",25,,""
2019,138987052,113823355,45,"C",8,,""
2019,146841752,121276935,14,"C",21,,""
2019,138991712,113823379,21,"C",13,,""
2019,138991717,113823380,49,"C",20,,"N"
2019,138981741,113828441,14,"A",13,,""
2019,138987111,113828455,51,"C",7,,""
2019,138981794,113823459,49,"C",20,,"F"
2019,138987177,113823466,5,"C",20,,""
2019,138991831,113828530,40,"C",24,,""
2019,138987194,113818393,45,"C",20,,""
2019,138991836,113828540,45,"C",20,,""
2019,138987201,113823485,23,"C",7,,""
2019,138981832,113823497,5,"C",41,,""
2019,138981835,113828551,45,"C",18,,""
2019,138991852,113818414,49,"C",20,,"F"
2019,138981852,113818424,14,"C",18,,""
2019,138981857,113818427,16,"C",13,,""
2019,138981865,113823513,14,"C",20,,""
2019,138981877,113823520,14,"C",18,,""
2019,138987247,113818445,5,"C",11,,""
2019,138991895,113823548,23,"C",24,,""
2019,146841763,121281294,51,"C",14,,""
2019,138987280,113828605,16,"C",13,,""
2019,138991918,113823572,40,"C",7,,""
2019,138991930,113823589,51,"C",14,,""
2019,138981996,113818550,27,"C",20,,""
2019,138987336,113818563,21,"C",18,,""
2019,138991976,113818568,49,"C",25,,"F"
2019,138982018,113818570,23,"C",24,,""
2019,146841782,121276947,49,"C",20,,"F"
2019,138987350,113818587,21,"C",20,,""
2019,138987364,113828673,51,"C",11,,""
2019,138982056,113823641,14,"C",20,,""
2019,138987372,113823643,51,"C",20,,""
2019,138992005,113828682,47,"C",20,,""
2019,138982074,113828685,21,"C",20,,""
2019,138992024,113823662,21,"C",24,,""
2019,138987399,113828701,11,"C",47,,""
2019,138987415,113823687,5,"C",20,,""
2019,138987431,113823699,51,"C",14,,""
2019,138982141,113818700,23,"A",8,,""
2019,146841783,121276947,5,"C",20,,""
2019,138982165,113818722,23,"C",8,,""
2019,138992086,113823724,51,"C",20,,""
2019,138982191,113818748,27,"C",13,,""
2019,138992096,113823730,45,"C",8,,""
2019,138987471,113823733,49,"C",7,,"F"
2019,138992106,113818760,23,"C",8,,""
2019,138982216,113818764,5,"C",5,,""
2019,138982225,113818769,51,"C",18,,""
2019,138987487,113828802,23,"C",8,,""
2019,138982238,113823744,51,"C",20,,""
2019,138992156,113823755,5,"C",20,,""
2019,138987496,113828833,45,"C",25,,""
2019,138987500,113823758,23,"C",23,,""
2019,138982279,113828851,7,"C",5,,""
2019,138982286,113823764,5,"C",5,,""
2019,138982287,113823764,16,"C",5,,""
2019,138992187,113823769,40,"C",13,,""
2019,138982292,113818832,49,"C",25,,"N"
2019,138982294,113828864,51,"C",20,,""
2019,138992209,113823781,47,"C",20,,""
2019,138987517,113828873,51,"C",20,,""
2019,138992215,113823785,23,"C",12,,""
2019,138992217,113823786,45,"C",25,,""
2019,138987522,113828888,27,"C",20,,""
2019,138982318,113828905,44,"C",20,,""
2019,138982317,113828905,51,"C",20,,""
2019,138982324,113823796,27,"C",13,,""
2019,138992279,113828923,62,"C",20,,""
2019,138987530,113823804,7,"C",20,,""
2019,138992294,113823808,16,"C",13,,""
2019,138987532,113828934,14,"A",20,,""
2019,138992315,113823819,14,"C",20,,""
2019,146841844,121276983,14,"C",5,,""
2019,138982370,113828955,14,"C",18,,""
2019,138982374,113818909,16,"C",14,,""
2019,138992330,113828959,47,"C",19,,""
2019,138992335,113828961,45,"C",18,,""
2019,138992346,113818921,23,"C",8,,""
2019,138992414,113829053,40,"C",5,,""
2019,138992417,113829059,14,"C",18,,""
2019,138992418,113823850,23,"C",24,,""
2019,138987586,113829073,56,"C",20,,""
2019,138987794,113829378,45,"C",20,,""
2019,138987809,113819131,27,"C",20,,""
2019,138992799,113824097,45,"C",20,,""
2019,138987822,113824102,7,"C",11,,""
2019,138992829,113824116,49,"C",5,,"F"
2019,138982654,113824141,45,"C",20,,""
2019,138982657,113829457,44,"C",14,,""
2019,138992854,113824159,14,"C",20,,""
2019,138987880,113824161,44,"C",20,,""
2019,138982669,113824165,51,"C",20,,""
2019,138987886,113829471,47,"C",20,,""
2019,138992876,113824177,14,"C",18,,""
2019,138987896,113824180,23,"C",24,,""
2019,146835147,121286268,49,"C",20,,"F"
2019,138987912,113824203,14,"C",43,,""
2019,146835151,121277017,44,"C",25,,""
2019,146841869,121277023,45,"C",25,,""
2019,138987917,113829535,23,"C",8,,""
2019,138987921,113819206,14,"C",21,,""
2019,138982729,113824218,11,"C",7,,""
2019,138987935,113824226,23,"A",5,,""
2019,138992960,113824232,44,"C",20,,""
2019,138982762,113819235,2,"C",20,,""
2019,138982769,113824233,16,"C",20,,""
2019,138982771,113824234,49,"C",20,,"N"
2019,138992976,113824236,23,"C",8,,""
2019,138982778,113824238,49,"C",20,,"F"
2019,138987971,113824253,14,"C",18,,""
2019,138993012,113819271,51,"C",20,,""
2019,138993023,113819276,2,"C",20,,""
2019,138982810,113824263,7,"C",18,,""
2019,138982819,113829646,44,"C",20,,""
2019,138987991,113824274,5,"C",18,,""
2019,138993043,113829658,45,"C",20,,""
2019,138988005,113824286,14,"C",14,,""
2019,146839456,121277050,2,"C",7,,""
2019,138993059,113824292,14,"C",18,,""
2019,138982851,113819313,21,"C",20,,""
2019,138993068,113829685,51,"C",7,,""
2019,138993076,113824299,45,"C",20,,""
2019,138982863,113819326,27,"C",20,,""
2019,146839463,121286314,47,"C",24,,""
2019,138982880,113829715,5,"C",20,,""
2019,146835242,121286337,5,"C",20,,""
2019,138982894,113819354,5,"C",20,,""
2019,138988060,113819359,44,"C",20,,""
2019,138993134,113824326,45,"C",20,,""
2019,138982904,113829753,51,"C",20,,""
2019,138988066,113824331,27,"C",20,,""
2019,138988070,113824335,23,"C",8,,""
2019,146841940,121281477,47,"C",20,,""
2019,138988084,113824342,45,"C",20,,""
2019,146839508,121277115,17,"A",47,,""
2019,138982938,113824345,16,"C",13,,""
2019,146839510,121277122,14,"C",38,,""
2019,138988091,113824350,5,"C",20,,""
2019,138982949,113829796,2,"C",20,,""
2019,138988099,113824355,23,"C",12,,""
2019,146835285,121286372,45,"C",5,,""
2019,138982959,113819408,63,"C",25,,""
2019,138982958,113819408,46,"C",25,,""
2019,146841982,121277138,14,"C",21,,""
2019,138988106,113829813,46,"C",25,,""
2019,138988107,113829813,63,"C",25,,""
2019,138993184,113829818,14,"C",38,,""
2019,138982968,113824361,51,"C",20,,""
2019,138993191,113829823,5,"C",20,,""
2019,138993190,113829823,40,"C",20,,""
2019,138982984,113824368,49,"C",19,1,"F"
2019,138993215,113824369,5,"C",20,,""
2019,146839528,121281529,49,"C",5,,"F"
2019,138993220,113824371,2,"C",20,,""
2019,138993224,113824373,51,"C",20,,""
2019,146835319,121277167,45,"C",3,,""
2019,138983011,113824374,16,"C",20,,""
2019,138983016,113824376,47,"C",12,,""
2019,138983024,113819464,14,"C",14,,""
2019,138993241,113824379,51,"C",15,,""
2019,146835336,121277176,51,"C",17,,""
