"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2019,2,121841837,,,13153852
2019,5,121842003,0.2,3,13153871
2019,5,121842037,3.5,1,13153874
2019,5,121842184,1,11,13153894
2019,5,121842188,1,11,13153895
2019,5,121842222,,,13153899
2019,5,121842275,4,1,13153904
2019,2,121842275,9,1,13153903
2019,16,121842357,7,1,13146401
2019,15,121842357,2,1,13153911
2019,5,121842357,11,1,13146400
2019,5,121858455,,,13146414
2019,8,121842650,53,9,13153929
2019,12,121842751,,,13153945
2019,5,121842759,0.001,3,13153947
2019,8,121842779,103,9,13153956
2019,5,121842779,60,1,13153955
2019,17,121842779,12,9,13153957
2019,12,121858575,1,1,13146437
2019,12,121842809,1,8,13146439
2019,12,121858585,0.001,1,13146442
2019,12,121842836,9.2,1,13146448
2019,12,121842842,1,11,13153973
2019,5,121842846,1,3,13153975
2019,5,121842862,1,3,13153981
2019,17,121842909,1,11,13153989
2019,2,121842926,,,13153990
2019,5,121842940,1,11,13153991
2019,5,121858779,1,11,13146471
2019,12,121858779,1,11,13153992
2019,16,121858780,10,1,13146473
2019,5,121858780,10,1,13146472
2019,13,121858791,1,1,13146475
2019,5,121858791,7,1,13146474
2019,12,121842981,1,1,13153998
2019,5,121842981,2,1,13153997
2019,12,121858867,0.35,4,13146488
2019,5,121858867,0.86,4,13146489
2019,4,121858867,1,1,13146487
2019,5,121843040,1,11,13154005
2019,5,121843050,4.007,1,13146494
2019,2,121843077,0.001,1,13154006
2019,5,121843081,1,11,13146499
2019,18,121843081,,,13154009
2019,12,121843081,1,11,13154008
2019,12,121858927,,,13154016
2019,5,121843126,1,11,13154017
2019,5,121843132,,,13154021
2019,12,121843141,,,13154024
2019,5,121858960,1,1,13146515
2019,5,121858967,34,4,13154025
2019,12,121843150,40.5,1,13154027
2019,5,121843151,1,11,13154028
2019,5,121859011,1.001,3,13154034
2019,7,121860400,1,11,13146522
2019,15,121860400,1,11,13150597
2019,12,121843182,0.01,1,13154040
2019,5,121843185,0.09,1,13154041
2019,1,121843197,1,11,13154043
2019,1,121843206,2,9,13154047
2019,5,121843213,1,11,13154050
2019,5,121843215,1,11,13154051
2019,16,121843236,1,11,13154055
2019,5,121843236,1,11,13154054
2019,2,121843236,1,11,13146531
2019,5,121843274,1,1,13154060
2019,4,121843322,1,1,13154071
2019,12,121843449,2,7,13154091
2019,5,121843467,,,13154095
2019,13,121859294,113.8,1,13154102
2019,5,121859304,,,13154105
2019,5,121843536,,,13154106
2019,5,121843717,,,13154130
2019,12,121860451,,,13146597
2019,5,121860451,,,13146598
2019,12,121843821,,,13154138
2019,16,121843824,,,13146603
2019,5,121843824,,,13146602
2019,5,121859529,1,3,13146610
2019,2,121843929,1,11,13146620
2019,16,121843961,,,13154167
2019,5,121864619,15,1,13146627
2019,16,121864685,1,11,13146637
2019,12,121864685,5,1,13146636
2019,16,121844220,,,13154195
2019,12,121844250,1,11,13154196
2019,12,121864839,1,11,13154197
2019,12,121864892,1,11,13154201
2019,12,121864924,9.009,1,13146661
2019,11,121864937,1,9,13146668
2019,16,121844357,1,9,13154217
2019,5,121844357,0.3,3,13146669
2019,5,121864924,0.009,1,13146662
2019,8,121864924,1,11,13146663
2019,5,121844337,146.2,1,13154208
2019,2,121844337,6.1,1,13154207
2019,11,121844337,31,9,13154209
2019,5,121844360,1,9,13154218
2019,12,121844410,8.97,1,13146684
2019,5,121844442,0.4,1,13154240
2019,5,121844454,1,3,13154242
2019,5,121844542,8,9,13154253
2019,12,121865184,1,11,13146724
2019,8,121865184,1,11,13154259
2019,5,121865184,1,11,13154258
2019,12,121865192,1,11,13146726
2019,5,121865200,4,9,13146729
2019,5,121869597,1,1,13154264
2019,5,121865229,1,11,13146733
2019,12,121865241,6,1,13146739
2019,12,121869651,1,11,13154281
2019,11,121869653,1,9,13154282
2019,2,121865269,1,1,13146748
2019,12,121869656,1,11,13146749
2019,5,121865273,1,11,13146752
2019,8,121865273,1,11,13146751
2019,5,121865356,1,11,13154289
2019,5,121869722,0.21,4,13154291
2019,5,121865390,1,11,13146776
2019,1,121865390,1,11,13154295
2019,12,121869744,2,1,13146778
2019,12,121869744,1,11,13154297
2019,12,121869749,1,1,13154299
2019,5,121869751,0.5,1,13154300
2019,5,121865425,0.05,1,13146781
2019,5,121869853,1,11,13154317
2019,5,121865530,1.4,1,13154324
2019,12,121869899,1,11,13154331
2019,5,121865547,51.6,1,13146795
2019,16,121869902,4,9,13154332
2019,5,121869916,12.68,1,13154336
2019,5,121869959,14.3,1,13154343
2019,5,121869970,0.05,3,13154350
2019,12,121865616,1,1,13154361
2019,4,121865679,,,13146812
2019,12,121870097,,,13154367
2019,2,121865719,,,13146821
2019,12,121865751,2,1,13146833
2019,16,121865751,1,9,13146834
2019,12,121865798,1,1,13146843
2019,4,121870173,6.1,1,13154375
2019,12,121865815,1,1,13154376
2019,5,121870200,1,4,13146846
2019,5,121870243,1,1,13146863
2019,5,121870253,2,1,13154384
2019,12,121865936,,,13146869
2019,5,121865935,1,1,13146868
2019,12,121865963,,,13146878
2019,5,121870357,,,13146882
2019,5,121860480,1,1,13154396
2019,5,121870405,1,1,13154405
2019,5,121870434,1,1,13154412
2019,12,121870438,1,1,13146890
2019,5,121870472,,,13154420
2019,1,121870488,1,11,13146892
2019,16,121866096,30,9,13146893
2019,5,121870514,,,13154424
2019,2,121870515,,,13146895
2019,5,121870526,,,13154428
2019,5,121870538,27.2,1,13154434
2019,12,121870546,0.001,9,13154437
2019,5,121870549,1,1,13154438
2019,12,121870549,2,1,13154439
2019,12,121870563,1,9,13146902
2019,5,121870565,1,11,13154440
2019,5,121870575,1,3,13154441
2019,5,121870583,1,3,13154442
2019,5,121870585,1,3,13154443
2019,5,121860507,1,11,13150611
2019,13,121870652,12,9,13154448
