"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2019,127183603,10,
2019,135121990,1,
2019,135117954,9,
2019,133023894,10,
2019,133019900,9,
2019,133017321,1,
2019,133021614,9,
2019,133010114,9,
2019,133010114,6,
2019,125503176,1,
2019,125498964,1,
2019,125503175,1,
2019,125499920,2,
2019,129144979,10,
2019,129148308,1,
2019,127188291,10,
2019,129141217,10,
2019,129142754,9,
2019,127188821,1,
2019,131320315,1,
2019,131319161,1,
2019,131320435,9,
2019,131309211,9,
2019,125495287,9,
2019,131309233,2,
2019,131312678,9,
2019,131323535,1,
2019,131309471,1,
2019,131313911,1,
2019,131323966,2,
2019,123886066,1,
2019,131320546,10,
2019,131321179,1,
2019,135120416,2,
2019,134769991,10,
2019,134774010,10,
2019,130336606,1,
2019,130333448,1,
2019,123888090,1,
2019,133019115,1,
2019,123884132,1,
2019,123882393,1,
2019,123706081,1,
2019,123887755,1,
2019,130337405,9,
2019,128270968,9,
2019,125503010,9,
2019,128273968,9,
2019,128274003,1,
2019,128272448,10,
2019,131312214,9,
2019,128274245,1,
2019,128270881,1,
2019,131313251,1,
2019,131318577,10,
2019,131311984,9,
2019,131319726,6,
2019,123887598,9,
2019,125503449,9,
2019,125503449,1,
2019,124593593,1,
2019,131323055,9,
2019,131310512,1,
2019,132999833,6,
2019,133013681,9,
2019,133007047,9,
2019,133017621,9,
2019,131313165,1,
2019,131321387,6,
2019,130341659,1,
2019,130338103,1,
2019,130339112,9,
2019,131317493,1,
2019,130328923,1,
2019,130340143,9,
2019,130342910,6,
2019,130338333,10,
2019,130335469,6,
2019,133020671,1,
2019,130337887,9,
2019,130334556,10,
2019,134756711,1,
2019,123882278,9,
2019,134756550,10,
2019,124609133,1,
2019,133737579,1,
2019,133003698,1,
2019,133003386,1,
2019,133013880,9,
2019,133020266,6,
2019,133020266,1,
2019,134769585,9,
2019,134757752,10,
2019,133735696,1,
2019,133735696,6,
2019,133023615,1,
2019,135122118,1,
2019,135116950,2,
2019,135119587,6,
2019,130339159,6,
2019,130336615,1,
2019,129149159,1,
2019,129144387,9,
2019,127188299,10,
2019,131320609,10,
2019,127189314,10,
2019,129148064,6,
2019,129148237,10,
2019,131320925,1,
2019,131319782,1,
2019,131312228,6,
2019,131312228,1,
2019,131312377,10,
2019,131319792,6,
2019,131302480,1,
2019,131302732,1,
2019,131314174,9,
2019,131310865,1,
2019,131311332,9,
2019,131314516,1,
2019,131309652,1,
2019,123883259,10,
2019,129140206,5,
2019,129144178,1,
2019,133023528,10,
2019,135122040,6,
2019,134756745,10,
2019,133018558,1,
2019,123888067,6,
2019,133006419,1,
2019,133014493,9,
2019,130340900,2,
2019,130329228,9,
2019,127180261,9,
2019,127181608,1,
2019,125499323,1,
2019,128274560,9,
2019,125495641,9,
2019,125495641,1,
2019,128271489,1,
2019,128272766,1,
2019,128274837,9,
2019,128271201,1,
2019,131297420,9,
2019,131297420,1,
2019,129132876,1,
2019,131313153,10,
2019,131315177,9,
2019,134768100,6,
2019,131310907,9,
2019,131321185,10,
2019,131311087,10,
2019,124609177,6,
2019,124593622,1,
2019,129143935,9,
2019,129144108,2,
2019,131318145,1,
2019,131302159,9,
2019,131321415,6,
2019,131322989,1,
2019,131320815,10,
2019,133011061,9,
2019,133023773,8,
2019,133025260,9,
2019,131314215,1,
2019,130338476,10,
2019,130338766,1,
2019,130335868,6,
2019,130302572,1,
2019,131324011,1,
2019,130342531,1,
2019,130339752,1,
2019,130338043,6,
2019,133020657,1,
2019,133020657,9,
2019,133015207,3,
2019,133018137,1,
2019,130333103,1,
2019,130333103,6,
2019,134770956,9,
2019,134768873,9,
2019,134760955,9,
2019,127184426,9,
2019,133016217,1,
2019,131328296,1,
2019,131314536,9,
2019,131313275,10,
2019,131302618,9,
2019,131302618,1,
2019,131316830,9,
2019,131313992,1,
2019,131311914,10,
2019,131317880,10,
2019,133021318,9,
2019,134765836,9,
2019,131312935,1,
2019,133002500,6,
2019,133027930,9,
2019,133025393,1,
2019,134763225,9,
2019,134757795,10,
2019,133017467,1,
2019,134778288,6,
2019,134778288,1,
2019,135115693,9,
2019,127188623,10,
2019,127181016,1,
2019,135120326,6,
2019,133022486,1,
2019,127189074,10,
2019,133008705,1,
2019,133018424,1,
2019,129143060,9,
2019,129132269,9,
2019,129142866,9,
2019,129143156,1,
2019,131310928,1,
2019,131320675,9,
2019,131323826,1,
2019,129150252,9,
2019,131302243,1,
2019,131310049,1,
2019,131321305,10,
2019,131308350,8,
2019,131309964,1,
2019,131309964,6,
2019,131310002,1,
2019,131310092,9,
2019,131320593,9,
2019,131324729,1,
2019,125496002,6,
2019,131311102,9,
2019,131311102,1,
2019,131319453,6,
2019,131302334,1,
2019,131328197,1,
2019,131312406,10,
2019,132977739,6,
2019,129144702,1,
2019,134765115,9,
2019,134766785,1,
2019,133000977,1,
2019,135117120,9,
2019,128274664,6,
2019,134767270,1,
2019,130342506,10,
2019,130334423,1,
2019,130335653,1,
2019,135485737,6,
2019,124608267,10,
2019,133024655,9,
2019,133024655,1,
2019,133021838,1,
2019,132999809,10,
2019,123706080,1,
2019,125499720,10,
2019,128275113,1,
2019,125504256,9,
2019,125499366,10,
2019,131314473,1,
2019,131315192,1,
2019,128271464,1,
2019,131319649,6,
2019,128274747,6,
2019,125494470,1,
2019,125503244,1,
2019,124594204,10,
2019,129140769,8,
2019,129140940,9,
2019,129149240,6,
2019,129149240,1,
2019,129149555,1,
2019,125499384,9,
2019,125504733,9,
2019,131327992,9,
2019,131313346,1,
2019,131320638,1,
2019,131320651,1,
2019,133000253,9,
2019,133007547,1,
2019,133001356,1,
2019,133024097,1,
2019,131310142,1,
2019,130302749,6,
2019,130340628,10,
2019,130333743,10,
2019,130342729,1,
2019,130344041,1,
2019,130344041,9,
2019,130337336,1,
2019,130338078,2,
2019,130336595,3,
2019,130337818,1,
2019,134766701,1,
2019,134767920,10,
2019,134770709,10,
2019,134757780,10,
2019,134756624,1,
2019,131328437,1,
2019,131319262,6,
2019,131314315,1,
2019,130338321,9,
2019,133010357,1,
2019,133005229,10,
2019,134765377,6,
2019,134765625,1,
2019,133024839,1,
