"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2019,10134616,3875,8,2019,"I",23-SEP-19,"Y","F","C","2019_08_GA0780300_NIBRS",62538364,0
2019,10134615,3875,9,2019,"I",23-SEP-19,"Y","F","C","2019_09_GA0780300_NIBRS",62538370,0
2019,10700182,3875,10,2019,"I",19-NOV-19,"Y","F","C","2019_10_GA0780300_NIBRS",60452026,0
2019,10925973,3875,11,2019,"I",30-DEC-19,"Y","F","C","2019_11_GA0780300_NIBRS",62538372,0
2019,10925184,3875,12,2019,"I",30-DEC-19,"Y","F","C","2019_12_GA0780300_NIBRS",64118751,0
2019,10704668,4147,10,2019,"Z",19-NOV-19,"Y","F","C","2019_10_GA1500300_NIBRS",60442121,0
2019,10926891,4147,11,2019,"Z",30-DEC-19,"Y","F","C","2019_11_GA1500300_NIBRS",62528891,0
2019,11084610,4147,12,2019,"Z",24-JAN-20,"Y","F","C","2019_12_GA1500300_NIBRS",64101250,0
2019,10132616,3887,8,2019,"I",23-SEP-19,"Y","F","C","2019_08_GA0810300_NIBRS",56467093,0
2019,10701337,3943,10,2019,"I",19-NOV-19,"Y","F","C","2019_10_GA0980100_NIBRS",60437535,0
2019,13443330,23303,9,2019,"Z",30-MAR-20,"Y","F","C","2019_09_GA0671800_NIBRS",70266829,0
2019,10925173,23303,10,2019,"Z",30-DEC-19,"Y","F","C","2019_10_GA0671800_NIBRS",62530984,0
2019,10925174,23303,11,2019,"Z",30-DEC-19,"Y","F","C","2019_11_GA0671800_NIBRS",62530986,0
2019,11083607,23303,12,2019,"Z",24-JAN-20,"Y","F","C","2019_12_GA0671800_NIBRS",64114912,0
2019,9085942,3822,1,2019,"I",21-JUN-19,"Y","F","C","2019_01_GA0671000_NIBRS",60441047,0
2019,9093557,3822,2,2019,"I",21-JUN-19,"Y","F","C","2019_02_GA0671000_NIBRS",48721033,0
2019,9093558,3822,3,2019,"I",21-JUN-19,"Y","F","C","2019_03_GA0671000_NIBRS",48700328,0
2019,9093559,3822,4,2019,"I",21-JUN-19,"Y","F","C","2019_04_GA0671000_NIBRS",60443178,0
2019,9093566,3822,5,2019,"I",21-JUN-19,"Y","F","C","2019_05_GA0671000_NIBRS",60446792,0
2019,9138558,3822,6,2019,"I",29-JUL-19,"Y","F","C","2019_06_GA0671000_NIBRS",51133079,0
2019,9226250,3822,7,2019,"I",28-AUG-19,"Y","F","C","2019_07_GA0671000_NIBRS",51128118,0
2019,10132609,3822,8,2019,"I",23-SEP-19,"Y","F","C","2019_08_GA0671000_NIBRS",60441024,0
2019,10502067,3822,9,2019,"I",22-OCT-19,"Y","F","C","2019_09_GA0671000_NIBRS",62537445,0
2019,10700179,3822,10,2019,"I",19-NOV-19,"Y","F","C","2019_10_GA0671000_NIBRS",64114790,0
2019,10925172,3822,11,2019,"I",30-DEC-19,"Y","F","C","2019_11_GA0671000_NIBRS",68545910,0
2019,11083606,3822,12,2019,"I",24-JAN-20,"Y","F","C","2019_12_GA0671000_NIBRS",68545914,0
2019,10502009,4032,8,2019,"I",22-OCT-19,"Y","F","C","2019_08_GA1210400_NIBRS",58703513,0
2019,10502006,4032,9,2019,"I",22-OCT-19,"Y","F","C","2019_09_GA1210400_NIBRS",58703509,0
2019,10502014,4032,10,2019,"I",22-OCT-19,"Y","F","C","2019_10_GA1210400_NIBRS",60436793,0
2019,10701325,4032,11,2019,"I",19-NOV-19,"Y","F","C","2019_11_GA1210400_NIBRS",62518258,0
2019,10925922,4032,12,2019,"I",30-DEC-19,"Y","F","C","2019_12_GA1210400_NIBRS",64099886,0
2019,11734818,3658,9,2019,"I",12-MAR-20,"Y","F","C","2019_09_GA0420000_NIBRS",71001102,0
2019,13514236,3658,10,2019,"I",10-APR-20,"Y","F","C","2019_10_GA0420000_NIBRS",71001962,0
2019,9140544,3489,1,2019,"I",29-JUL-19,"Y","F","C","2019_01_GA0080100_NIBRS",62519395,0
2019,9140546,3489,2,2019,"I",29-JUL-19,"Y","F","C","2019_02_GA0080100_NIBRS",62519400,0
2019,9140548,3489,3,2019,"I",29-JUL-19,"Y","F","C","2019_03_GA0080100_NIBRS",62528068,0
2019,9137610,3489,4,2019,"I",29-JUL-19,"Y","F","C","2019_04_GA0080100_NIBRS",62532007,0
2019,9137609,3489,5,2019,"I",29-JUL-19,"Y","F","C","2019_05_GA0080100_NIBRS",62519409,0
2019,9138548,3489,6,2019,"I",29-JUL-19,"Y","F","C","2019_06_GA0080100_NIBRS",62519411,0
2019,9137611,3489,7,2019,"I",29-JUL-19,"Y","F","C","2019_07_GA0080100_NIBRS",62519415,0
2019,9226949,3489,8,2019,"I",28-AUG-19,"Y","F","C","2019_08_GA0080100_NIBRS",62519417,0
2019,10502033,3489,9,2019,"I",22-OCT-19,"Y","F","C","2019_09_GA0080100_NIBRS",62519420,0
2019,10701345,3489,10,2019,"I",19-NOV-19,"Y","F","C","2019_10_GA0080100_NIBRS",60437760,0
2019,10925146,3489,11,2019,"I",30-DEC-19,"Y","F","C","2019_11_GA0080100_NIBRS",62528085,0
2019,11084594,3489,12,2019,"I",24-JAN-20,"Y","F","C","2019_12_GA0080100_NIBRS",67093904,0
2019,9226975,3780,1,2019,"I",28-AUG-19,"Y","F","C","2019_01_GA0605600_NIBRS",51109345,0
2019,9226259,3780,2,2019,"I",28-AUG-19,"Y","F","C","2019_02_GA0605600_NIBRS",67115435,0
2019,9215947,3780,3,2019,"I",28-AUG-19,"Y","F","C","2019_03_GA0605600_NIBRS",67118442,0
2019,9226260,3780,4,2019,"I",28-AUG-19,"Y","F","C","2019_04_GA0605600_NIBRS",68552826,0
2019,9226261,3780,5,2019,"I",28-AUG-19,"Y","F","C","2019_05_GA0605600_NIBRS",67111087,0
2019,9226262,3780,6,2019,"I",28-AUG-19,"Y","F","C","2019_06_GA0605600_NIBRS",67111105,0
2019,10138066,3780,7,2019,"I",23-SEP-19,"Y","F","C","2019_07_GA0605600_NIBRS",68552870,0
2019,10502092,3780,8,2019,"I",22-OCT-19,"Y","F","C","2019_08_GA0605600_NIBRS",68552835,0
2019,10700183,3780,9,2019,"I",19-NOV-19,"Y","F","C","2019_09_GA0605600_NIBRS",68552850,0
2019,10925993,3780,10,2019,"I",30-DEC-19,"Y","F","C","2019_10_GA0605600_NIBRS",68552842,0
2019,11564862,3780,11,2019,"I",27-FEB-20,"Y","F","C","2019_11_GA0605600_NIBRS",68562590,0
2019,11564863,3780,12,2019,"I",27-FEB-20,"Y","F","C","2019_12_GA0605600_NIBRS",68557438,0
2019,10701346,3556,10,2019,"I",19-NOV-19,"Y","F","C","2019_10_GA0230000_NIBRS",68548106,0
2019,10925934,3556,11,2019,"I",30-DEC-19,"Y","F","C","2019_11_GA0230000_NIBRS",67093930,0
2019,11084597,3556,12,2019,"I",24-JAN-20,"Y","F","C","2019_12_GA0230000_NIBRS",68543531,0
2019,10704682,3971,6,2019,"I",19-NOV-19,"Y","F","C","2019_06_GA1050000_NIBRS",70273705,0
2019,13442170,3971,7,2019,"I",30-MAR-20,"Y","F","C","2019_07_GA1050000_NIBRS",70273724,0
2019,13442165,3971,8,2019,"I",30-MAR-20,"Y","F","C","2019_08_GA1050000_NIBRS",70273710,0
2019,13443350,3971,9,2019,"I",30-MAR-20,"Y","F","C","2019_09_GA1050000_NIBRS",70273714,0
2019,13442169,3971,10,2019,"I",30-MAR-20,"Y","F","C","2019_10_GA1050000_NIBRS",70273723,0
2019,13442168,3971,11,2019,"I",30-MAR-20,"Y","F","C","2019_11_GA1050000_NIBRS",70269233,0
2019,13442171,3971,12,2019,"I",30-MAR-20,"Y","F","C","2019_12_GA1050000_NIBRS",70269238,0
2019,11084628,3622,10,2019,"I",24-JAN-20,"Y","F","C","2019_10_GA0330600_NIBRS",64115577,0
2019,11083396,3622,11,2019,"I",24-JAN-20,"Y","F","C","2019_11_GA0330600_NIBRS",67117137,0
2019,11567616,3622,12,2019,"I",27-FEB-20,"Y","F","C","2019_12_GA0330600_NIBRS",71007871,0
2019,9226239,3701,7,2019,"I",28-AUG-19,"Y","F","C","2019_07_GA0480100_NIBRS",70260802,0
2019,9226953,3701,8,2019,"I",28-AUG-19,"Y","F","C","2019_08_GA0480100_NIBRS",70260858,0
2019,10132602,3701,9,2019,"I",23-SEP-19,"Y","F","C","2019_09_GA0480100_NIBRS",70265207,0
2019,10925156,3701,10,2019,"I",30-DEC-19,"Y","F","C","2019_10_GA0480100_NIBRS",70265250,0
2019,11083378,3701,11,2019,"I",24-JAN-20,"Y","F","C","2019_11_GA0480100_NIBRS",70260820,0
2019,11564829,3701,12,2019,"I",27-FEB-20,"Y","F","C","2019_12_GA0480100_NIBRS",70265233,0
2019,11084626,3896,10,2019,"I",24-JAN-20,"Y","F","C","2019_10_GA0840000_NIBRS",64117560,0
2019,11084627,3896,11,2019,"I",24-JAN-20,"Y","F","C","2019_11_GA0840000_NIBRS",67109744,0
2019,11083611,3896,12,2019,"I",24-JAN-20,"Y","F","C","2019_12_GA0840000_NIBRS",68550757,0
2019,11731818,3621,7,2019,"I",12-MAR-20,"Y","F","C","2019_07_GA0330500_NIBRS",68547764,0
2019,11566092,3621,8,2019,"U",27-FEB-20,"Y","F","C","2019_08_GA0330500_NIBRS",70257413,0
2019,11566095,3621,9,2019,"U",27-FEB-20,"Y","F","C","2019_09_GA0330500_NIBRS",70257422,0
2019,11564815,3621,10,2019,"I",27-FEB-20,"Y","F","C","2019_10_GA0330500_NIBRS",70994940,0
2019,11566098,3621,11,2019,"I",27-FEB-20,"Y","F","C","2019_11_GA0330500_NIBRS",70994952,0
2019,11566096,3621,12,2019,"I",27-FEB-20,"Y","F","C","2019_12_GA0330500_NIBRS",70257428,0
2019,11084615,3605,10,2019,"I",24-JAN-20,"Y","F","C","2019_10_GA0310200_NIBRS",68540806,0
2019,11564832,3605,11,2019,"I",27-FEB-20,"Y","F","C","2019_11_GA0310200_NIBRS",68548980,0
2019,11566117,3605,12,2019,"I",27-FEB-20,"Y","F","C","2019_12_GA0310200_NIBRS",68544560,0
2019,10700174,3700,10,2019,"I",19-NOV-19,"Y","F","C","2019_10_GA0480000_NIBRS",62532105,0
2019,10925155,3700,11,2019,"I",30-DEC-19,"Y","F","C","2019_11_GA0480000_NIBRS",62528961,0
2019,11567609,4050,10,2019,"I",27-FEB-20,"Y","F","C","2019_10_GA1260100_NIBRS",71840741,0
2019,11567610,4050,11,2019,"I",27-FEB-20,"Y","F","C","2019_11_GA1260100_NIBRS",71840742,0
2019,11566122,4050,12,2019,"I",27-FEB-20,"Y","F","C","2019_12_GA1260100_NIBRS",71840743,0
2019,10704662,3519,10,2019,"I",19-NOV-19,"Y","F","C","2019_10_GA0150000_NIBRS",64103238,0
2019,10925933,3519,11,2019,"I",30-DEC-19,"Y","F","C","2019_11_GA0150000_NIBRS",68540179,0
2019,11084589,3519,12,2019,"I",24-JAN-20,"Y","F","C","2019_12_GA0150000_NIBRS",71000762,0
2019,11567599,3585,1,2019,"U",27-FEB-20,"Y","F","C","2019_01_GA0280000_NIBRS",67089087,0
2019,13438612,3585,5,2019,"U",30-MAR-20,"Y","F","C","2019_05_GA0280000_NIBRS",70250069,0
2019,13443317,3585,8,2019,"U",30-MAR-20,"Y","F","C","2019_08_GA0280000_NIBRS",70250071,0
2019,10502037,3585,10,2019,"I",22-OCT-19,"Y","F","C","2019_10_GA0280000_NIBRS",70257900,0
2019,10701350,3585,11,2019,"I",19-NOV-19,"Y","F","C","2019_11_GA0280000_NIBRS",70257933,0
2019,10925149,3585,12,2019,"I",30-DEC-19,"Y","F","C","2019_12_GA0280000_NIBRS",70262759,0
2019,10502054,3725,10,2019,"I",22-OCT-19,"Y","F","C","2019_10_GA0560000_NIBRS",68548822,0
2019,10704674,3725,11,2019,"I",19-NOV-19,"Y","F","C","2019_11_GA0560000_NIBRS",68544358,0
2019,11083597,3725,12,2019,"I",24-JAN-20,"Y","F","C","2019_12_GA0560000_NIBRS",71002695,0
2019,11731834,3872,1,2019,"I",12-MAR-20,"Y","F","C","2019_01_GA0780000_NIBRS",70267298,0
2019,13443333,3872,2,2019,"I",30-MAR-20,"Y","F","C","2019_02_GA0780000_NIBRS",70267303,0
2019,13438618,3872,3,2019,"I",30-MAR-20,"Y","F","C","2019_03_GA0780000_NIBRS",70267311,0
2019,13443334,3872,4,2019,"I",30-MAR-20,"Y","F","C","2019_04_GA0780000_NIBRS",70266602,0
2019,13438825,3872,5,2019,"I",,"Y","G","C","2019_05_GA0780000_NIBRS",71007716,0
2019,13438826,3872,6,2019,"I",,"Y","G","C","2019_06_GA0780000_NIBRS",,0
2019,13438827,3872,7,2019,"I",,"Y","G","C","2019_07_GA0780000_NIBRS",,0
2019,13438828,3872,8,2019,"I",,"Y","G","C","2019_08_GA0780000_NIBRS",,0
2019,13438829,3872,9,2019,"I",,"Y","G","C","2019_09_GA0780000_NIBRS",,0
2019,10701388,3872,10,2019,"I",19-NOV-19,"Y","F","C","2019_10_GA0780000_NIBRS",68550708,0
2019,10925180,3872,11,2019,"I",30-DEC-19,"Y","F","C","2019_11_GA0780000_NIBRS",68546116,0
