"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
34682019,3468,2019,"GA0010000","GA0010000","","N","N",,"I","APPLING","APPLING CO SO BAXLEY","Appling","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","County",13515,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",28,18,46,1,21,22,0,0,01-JAN-18,01-OCT-19,01-OCT-19,01-DEC-19,01-DEC-19,01-DEC-19,"N","APPLING","Non-MSA","Y","Y","Y"
34692019,3469,2019,"GA0010100","GA0010100","","N","N",,"I","BAXLEY","BAXLEY PD","Baxley","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","City",4697,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",6,0,6,3,1,4,0,0,01-JAN-18,01-DEC-18,01-DEC-18,01-OCT-19,01-OCT-19,01-NOV-19,"N","APPLING","Non-MSA","Y","Y","Y"
34712019,3471,2019,"GA0020000","GA0020000","","N","N",,"I","ATKINSON","ATKINSON CO SO PEARSON","Atkinson","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","County",4839,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","N",,,,,,,0,0,01-JAN-18,01-OCT-19,01-OCT-19,01-FEB-20,01-FEB-20,01-FEB-20,"N","ATKINSON","Non-MSA","Y","Y","Y"
34752019,3475,2019,"GA0030100","GA0030100","","N","N",,"I","ALMA","ALMA PD","Alma","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","City",3438,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",10,0,10,0,2,2,0,0,01-JAN-18,01-NOV-18,01-NOV-18,01-MAR-19,01-MAR-19,01-MAR-19,"N","BACON","Non-MSA","Y","Y","Y"
34782019,3478,2019,"GA0050000","GA0050000","","N","N",,"I","BALDWIN","BALDWIN COUNTY SHERIFF OFFICE","Baldwin","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","County",26014,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","N",14,"8B","Non-MSA counties from 25,000 thru 99,999","8","Non-MSA Counties","N",3,"R","Y",45,20,65,14,40,54,0,0,01-JAN-18,01-OCT-19,01-OCT-19,01-DEC-19,01-DEC-19,01-DEC-19,"N","BALDWIN","Non-MSA","Y","Y","Y"
34792019,3479,2019,"GA0050100","GA0050100","","N","N",,"I","MILLEDGEVILLE","MILLEDGEVILLE PD","Milledgeville","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","City",18655,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",27,2,29,7,16,23,0,0,01-JAN-18,01-FEB-19,01-FEB-19,01-JUN-19,01-JUN-19,01-FEB-20,"N","BALDWIN","Non-MSA","Y","Y","Y"
34812019,3481,2019,"GA0050300","GA0050300","","N","N",,"I","GA COLLEGE & STATE UNIVE","GEORGIA COLLEGE & STATE UNIV PUB SAF","Georgia College and State University","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","University or College",0,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",14,3,17,0,5,5,0,0,01-JAN-18,01-SEP-19,01-SEP-19,01-APR-20,01-APR-20,01-APR-20,"N","BALDWIN","Non-MSA","Y","Y","Y"
34892019,3489,2019,"GA0080100","GA0080100","","N","N",,"I","CARTERSVILLE","CARTERSVILLE PD","Cartersville","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","City",21322,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",52,3,55,8,6,14,0,0,01-JAN-18,01-DEC-18,01-DEC-18,01-JUL-19,01-JUL-19,,"N","BARTOW","Atlanta-Sandy Springs-Alpharetta, GA","Y","Y","Y"
34902019,3490,2019,"GA0080200","GA0080200","","N","N",,"I","ADAIRSVILLE","ADAIRSVILLE PD","Adairsville","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","City",4953,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",15,0,15,1,2,3,0,0,01-JAN-18,01-NOV-18,01-NOV-18,01-MAR-19,01-MAR-19,01-MAR-19,"N","BARTOW","Atlanta-Sandy Springs-Alpharetta, GA","Y","Y","Y"
34932019,3493,2019,"GA0080600","GA0080600","","N","N",,"I","EMERSON","EMERSON PD EMERSON","Emerson","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","City",1603,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",7,0,7,1,1,2,0,0,01-JAN-18,01-JAN-19,01-JAN-19,01-JUL-19,01-JUL-19,01-JUL-19,"N","BARTOW","Atlanta-Sandy Springs-Alpharetta, GA","Y","Y","Y"
