data_year,population,total_agency_count,published_agency_count,active_agency_count,covered_agency_count,population_covered,agency_count_nibrs_submitting,agency_count_leoka_submitting,agency_count_pe_submitting,agency_count_srs_submitting,agency_count_supp_submitting,nibrs_population_covered
2019,6223206,601,505,711,3,1387,28,28,505,477,573,34.77902
2018,6211446,603,520,711,15,4052,23,22,520,498,592,22.150076
2017,6200742,613,587,709,7,3568,21,20,587,567,607,14.588012
2016,6171711,621,617,707,8,8609,19,18,617,599,616,13.072581
2015,6136017,637,632,706,7,2141,14,14,632,618,632,12.521005
2014,6112392,636,631,695,4,2194,14,14,631,617,631,12.418379
2013,6092552,629,623,689,6,1771,13,13,623,610,623,12.111066
2012,6064498,640,637,691,0,0,20,12,637,625,637,12.211118
2011,6053701,637,635,688,3,867,19,11,635,624,635,11.06604
2010,6031691,634,631,683,0,0,19,10,631,621,630,10.972645
2009,6031658,627,625,676,5,5683,15,6,625,619,625,2.0591686
2008,5950049,634,630,675,1,303,12,3,630,627,631,0.5873061
2007,5918287,624,621,667,9,9359,10,2,621,619,620,0.40998352
2006,5878107,621,617,663,5,2369,2,2,617,615,595,0.29696637
2005,5833568,594,589,632,3,2642,0,0,589,589,589,0.0
2004,5784134,596,592,628,10,4783,0,0,592,592,592,0.0
2003,5732950,591,588,618,4,1843,0,0,588,588,591,0.0
2002,5684884,585,569,593,0,0,0,0,569,569,566,0.0
2001,5701710,319,306,342,0,0,0,0,306,306,305,0.0
2000,5666897,319,244,343,0,0,0,0,244,244,222,0.0
1999,5543399,316,247,340,0,0,0,0,247,247,226,0.0
1998,5526522,314,243,339,0,0,0,0,243,243,229,0.0
1997,5491224,314,246,340,0,0,0,0,246,246,233,0.0
1996,5440912,312,250,335,0,0,0,0,250,250,226,0.0
1995,5405387,308,246,331,0,0,0,0,246,246,231,0.0
1994,5358013,307,246,330,0,0,0,0,246,246,225,0.0
1993,5308467,304,247,327,0,0,0,0,247,247,223,0.0
1992,5266786,301,248,323,1,3664,0,0,248,248,216,0.0
1991,5225315,303,251,323,0,0,0,0,251,251,224,0.0
1990,5183863,301,251,321,1,426,0,0,251,251,220,0.0
1989,5228852,299,246,319,1,0,0,0,246,246,219,0.0
1988,5210876,298,245,317,0,0,0,0,245,245,221,0.0
1987,5174684,301,242,320,0,0,0,0,242,242,212,0.0
1986,5136721,301,241,320,0,0,0,0,241,241,215,0.0
1985,5101825,300,249,319,0,0,0,0,249,249,235,0.0
1984,5080944,298,237,317,0,0,0,0,237,237,230,0.0
1983,5042663,294,240,313,0,0,0,0,240,240,218,0.0
1982,5034639,290,237,309,1,11631,0,0,237,237,220,0.0
1981,5009973,290,237,308,0,0,0,0,237,237,215,0.0
1980,4979528,289,229,307,0,0,0,0,229,229,215,0.0
1979,4942969,283,219,301,0,0,0,0,219,219,204,0.0
