"DATA_YEAR","OFFENDER_ID","INCIDENT_ID","OFFENDER_SEQ_NUM","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2018,113934362,100800472,0,,,"",,,,
2018,113930050,100811662,1,5,51,"M",1,2,51,0
2018,113934403,100800510,1,5,29,"F",1,2,29,0
2018,113930070,100800510,2,5,29,"M",1,2,29,0
2018,113934423,100811693,2,5,24,"F",1,2,24,0
2018,113934422,100811693,1,5,22,"F",1,2,22,0
2018,113938721,100816148,1,5,20,"M",1,2,20,0
2018,113934482,100811753,1,5,23,"M",1,1,23,0
2018,113938793,100811781,1,5,27,"M",1,2,27,0
2018,113930205,100811791,1,5,37,"F",1,2,37,0
2018,113934520,100816221,0,,,"",,,,
2018,113934526,100811808,1,5,45,"F",1,2,45,0
2018,113934534,100816231,0,,,"",,,,
2018,113938856,100811834,0,,,"",,,,
2018,113930289,100811870,0,,,"",,,,
2018,113934635,100816311,1,5,20,"M",1,1,20,0
2018,113938940,100811892,1,5,37,"M",1,2,37,0
2018,113930313,100811898,2,5,27,"F",1,2,27,0
2018,113930324,100811912,0,,,"",,,,
2018,113934679,100811921,0,,,"",,,,
2018,113934683,100816354,1,4,,"U",0,,,
2018,113934698,100800802,1,5,44,"M",1,3,44,0
2018,113930402,100811990,1,4,,"U",0,3,,
2018,113939065,100811995,0,,,"",,,,
2018,113930434,100812016,1,4,,"F",0,3,,
2018,113930455,100812039,0,,,"",,,,
2018,113939140,100800938,1,5,28,"M",1,3,28,0
2018,113939167,100816527,1,5,61,"M",4,2,61,0
2018,113934908,100816555,1,5,56,"F",1,2,56,0
2018,113939196,100812118,0,,,"",,,,
2018,113939295,100812208,0,,,"",,,,
2018,113939309,100812222,1,5,27,"F",1,,27,0
2018,113935051,100816682,0,,,"",,,,
2018,113935074,100812248,1,5,34,"M",1,,34,0
2018,113939335,100812251,0,,,"",,,,
2018,113976566,100856719,1,4,,"U",0,,,
2018,113963300,100854068,1,5,31,"F",1,,31,0
2018,113976624,100854092,0,,,"",,,,
2018,113976673,100848576,1,5,34,"M",1,,34,0
2018,113976711,100856839,0,,,"",,,,
2018,113976746,100856864,1,5,25,"M",1,,22,29
2018,113976763,100848611,1,5,25,"M",1,,22,29
2018,113963385,100856903,0,,,"",,,,
2018,113963389,100856908,1,5,25,"M",2,,22,29
