"DATA_YEAR","OFFENSE_ID","INCIDENT_ID","OFFENSE_TYPE_ID","ATTEMPT_COMPLETE_FLAG","LOCATION_ID","NUM_PREMISES_ENTERED","METHOD_ENTRY_CODE"
2018,118622616,95811058,45,"C",12,,""
2018,118622782,95811210,5,"C",13,,""
2018,118622970,95811384,49,"C",5,,"F"
2018,118623068,95811474,14,"C",20,,""
2018,118623152,95811549,44,"C",20,,""
2018,118623434,95811804,49,"C",20,,"N"
2018,118623891,95812208,51,"C",20,,""
2018,118624186,95812485,21,"C",20,,""
2018,118624242,95812527,51,"C",20,,""
2018,118624413,95812681,14,"C",20,,""
2018,118624855,95813040,23,"C",24,,""
2018,118624911,95813092,45,"C",8,,""
2018,118624916,95813092,7,"C",20,,""
2018,118624994,95813160,47,"C",5,,""
2018,118624998,95813160,49,"C",38,,"N"
2018,118625093,95813234,23,"C",23,,""
2018,118625206,95813325,16,"C",18,,""
2018,118625389,95813482,51,"C",20,,""
2018,118627043,95814839,23,"C",24,,""
2018,118627186,95814969,23,"C",43,,""
2018,118627317,95815125,14,"C",18,,""
2018,118627313,95815125,5,"C",18,,""
2018,118627494,95815251,51,"C",20,,""
2018,118627744,95815504,49,"C",20,,"N"
2018,118627842,95815571,47,"C",20,,""
2018,118628138,95815831,49,"C",20,,"N"
2018,118628192,95815881,45,"C",20,,""
2018,118628226,95815913,23,"C",43,,""
2018,118628288,95815978,14,"C",18,,""
2018,118628296,95815978,5,"C",18,,""
2018,118628382,95816038,23,"C",24,,""
2018,118628845,95816465,14,"C",20,,""
2018,118628897,95816517,5,"C",20,,""
2018,118629144,95816725,29,"C",7,,""
2018,118629203,95816792,47,"C",41,,""
2018,118629863,95817361,23,"C",8,,""
2018,118629946,95817431,63,"C",25,,""
2018,118630028,95817501,23,"C",24,,""
2018,118630200,95817657,47,"C",5,,""
2018,118630283,95817736,23,"C",8,,""
2018,118632087,95819269,47,"C",20,,""
2018,118632207,95819384,21,"C",20,,""
2018,118632280,95819435,47,"C",20,,""
2018,118632341,95819479,35,"C",13,,""
2018,118632525,95819652,21,"C",5,,""
2018,118632616,95819730,14,"C",13,,""
2018,118632758,95819865,5,"C",38,,""
2018,118632945,95820022,45,"C",14,,""
2018,118633191,95820242,21,"C",18,,""
2018,118633501,95820511,45,"C",7,,""
2018,118633713,95820692,49,"C",20,,"F"
2018,118633775,95820755,51,"C",35,,""
2018,118633873,95820859,45,"C",5,,""
2018,118633882,95820859,5,"C",5,,""
