"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2018,111519914,10,2,,120801992
2018,111519914,26,30,,120801993
2018,111519914,63,100,,120801995
2018,111519919,52,0,,120802000
2018,111519923,26,150,,120802004
2018,111519923,63,700,,120802006
2018,111519923,38,250,,120802005
2018,111519931,47,0,22-DEC-18,120802016
2018,111519932,47,0,,120802017
2018,111519972,6,1915,18-AUG-18,120807066
2018,111519973,6,1915,,120807067
2018,111519974,3,59858,,120793971
2018,111506629,3,59858,17-JAN-18,120793970
2018,111519984,63,480,,120807091
2018,111519984,25,150,,120807090
2018,111519984,6,400,,120807089
2018,111519988,35,250,,120807095
2018,111520002,10,,,120807114
2018,111520004,17,5,,120807120
2018,111520004,63,0,,120807122
2018,111520004,9,0,,120807119
2018,111520004,25,10,,120807121
2018,111520006,17,150,,120807127
2018,111520007,6,250,,120807128
2018,111520007,25,50,,120807129
2018,111520014,3,400,,120807135
2018,111520017,31,50,,120807141
2018,111520019,25,50,,120807145
2018,111520019,6,130,,120807144
2018,111520019,61,80,,120807146
2018,111515593,8,130,,120805458
2018,111515593,25,50,,120805459
2018,111515593,6,120,,120805457
2018,105690163,36,1270,,113213787
2018,105681443,25,25,,113205271
2018,105681448,25,70,,113213814
2018,105681448,51,0,,113213815
2018,105681448,9,0,,113209888
2018,105681448,63,30,,113205280
2018,105690179,38,900,,113213813
2018,105686041,36,400,,113205284
2018,105686062,63,200,,113209928
2018,105690207,4,700,,113213852
2018,105690211,36,40,,113213858
2018,105690211,47,0,,113209943
2018,105690211,62,10,,113205334
2018,105690211,43,225,,113209942
2018,105690211,63,117,,113205336
2018,105690211,25,5,,113213857
2018,105690211,6,115,,113209941
2018,105686090,31,20,,113213875
2018,105686090,30,25,,113213874
2018,105686100,52,0,,113213884
2018,105686100,63,0,,113213885
2018,105686116,37,1,,113205388
2018,105681515,37,1,07-AUG-18,113209992
2018,107356015,25,123,,115356803
2018,107359674,32,100,,115351135
2018,107359699,3,3,,115351159
2018,107352196,29,1,,115357840
2018,107356097,10,,,115351189
2018,107356097,11,1,,115357858
2018,107352213,26,50,,115357867
2018,107356117,10,,,115356943
2018,107356152,63,1,,115357912
2018,107356164,4,250,,115351241
2018,107359797,63,350,,115351249
2018,107359797,36,4,,115356995
2018,107352286,63,25,,115351270
2018,107352317,65,1500,,115362061
2018,107359825,38,250,,115351299
2018,107352317,55,1790,,115351300
2018,107352317,48,1350,,115351302
2018,107352317,26,300,,115362068
2018,107352317,60,1950,,115357980
2018,107359825,63,500,,115362056
2018,107352317,17,550,,115357985
2018,107352317,36,11665,,115362067
2018,107352317,63,6319,,115357987
2018,107352317,54,1018,,115351301
2018,107352317,38,130,,115362066
2018,107359844,38,701,26-NOV-18,115362103
2018,107352331,38,891,,115362105
2018,107352331,7,4632,,115362104
2018,107356263,38,200,,115362102
2018,107356263,7,4300,,115358001
2018,107352331,26,340,,115351329
2018,107356263,36,1000,,115362101
2018,107356268,7,25,,115362117
2018,107356346,19,12,,115362224
2018,107356345,10,,,115351444
2018,107356372,63,1,,115362251
2018,107356372,51,0,,115362253
2018,107356372,25,1,,115358122
2018,107356372,9,0,,115362252
2018,107352484,3,2500,,115358213
2018,107352483,3,2500,19-NOV-18,115362341
2018,107360045,63,200,,115358219
2018,107360059,38,10,,115351594
2018,107356492,24,7000,,115362374
2018,107356518,20,1000,,115362402
2018,107352552,3,100,,115351665
2018,107360127,10,,,115358314
2018,107352593,31,1,,115351709
2018,107360160,3,100,,115351715
2018,107352607,2,3,,115358365
2018,107352620,21,7452,,115362526
2018,107360175,3,1,,115351731
2018,107360177,10,,,115351735
2018,107360177,11,1,,115362531
2018,107360187,9,0,,115351753
2018,107360187,19,53,,115362543
2018,107356677,3,5000,,115362567
2018,107356672,3,5000,11-JUL-18,115351772
2018,107356677,38,82,,115358428
2018,107356680,19,216,,115362570
2018,107356676,19,216,26-JUL-18,115362568
2018,107356681,6,45,,115362572
2018,107356704,25,50,,115362592
2018,107356704,51,0,,115358447
2018,107356704,6,1,,115362594
2018,107356704,61,104,,115351785
2018,107356704,9,0,,115362596
2018,107360227,3,3000,,115351799
2018,107360227,36,510,,115362607
2018,107360226,3,3000,25-AUG-18,115351798
2018,107352676,17,200,,115351800
2018,107356715,63,150,,115362611
2018,107360233,63,185,,115362614
2018,107360233,16,250,,115362613
2018,107352683,9,0,,115358469
2018,107352702,9,0,,115351830
2018,107356740,19,29,,115358490
2018,107360254,20,250,,115351836
2018,107352705,30,75,,115351839
2018,107360255,7,500,,115362644
2018,107360260,51,0,,115358497
2018,107360264,6,43,,115351852
2018,107356761,9,0,,115351859
2018,107352738,10,,,115358529
2018,107356791,19,363,,115362700
2018,107356788,19,363,02-OCT-18,115351888
