"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2018,15,107285474,1,9,9805645
2018,12,107290638,0.001,1,9810970
2018,12,107281782,22,1,9814062
2018,2,107282952,25.005,1,9814131
2018,4,107292527,0.009,1,9805823
2018,2,107283863,21.042,1,9814162
2018,12,107288415,,,9805847
2018,12,107293861,1,9,9811160
2018,17,107340638,,,9817617
2018,17,107340639,4,9,9815226
2018,17,107333068,,,9822327
2018,12,107340878,3,1,9822329
2018,17,107340926,,,9817649
2018,12,107333128,1,1,9822336
2018,5,107335344,1,1,9817660
2018,17,107335341,,,9815251
2018,12,107335487,1,1,9817684
2018,17,107335486,,,9815263
2018,12,107344336,9.001,1,9817727
2018,17,107341872,,,9815295
2018,12,107342038,10.005,1,9817735
2018,17,107342037,,,9817734
2018,17,107342200,,,9815314
2018,12,107344828,0.002,1,9822458
2018,5,107345709,0.001,1,9822508
2018,12,107342909,1,9,9817788
2018,4,107345799,1,11,9817789
2018,17,107347225,,,9817838
2018,12,107344192,0.063,1,9822576
2018,7,107337547,1.006,1,9822581
2018,17,107337611,,,9815404
2018,5,107348497,0.005,1,9822660
2018,1,107383909,0.002,1,9823744
2018,4,107349061,0.001,1,9822682
2018,12,107390847,0.002,1,9823751
2018,4,107383468,1.004,1,9823725
2018,2,107394500,1.003,1,9823762
2018,4,107394646,4.001,1,9826294
2018,17,111518684,,,10536835
2018,4,111509102,1,9,10524948
2018,17,111518698,,,10524951
2018,12,111518700,1,1,10536840
2018,2,111518703,25.002,1,10536842
2018,12,111518704,0.009,1,10536843
2018,17,111519021,,,10536878
2018,17,111519024,,,10536879
2018,12,111519095,0.006,1,10536880
2018,17,111519111,21.009,1,10536881
2018,4,111519193,0.006,1,10536882
2018,4,111529245,19,1,10536884
2018,12,111529252,0.002,1,10536885
2018,4,111529258,0.005,1,10536886
2018,12,111529439,1.001,1,10536889
2018,4,111529449,13.009,1,10536890
2018,4,111529478,0.005,1,10536891
2018,4,111529521,0.003,1,10536893
2018,2,111529560,72.008,1,10536894
2018,4,111529597,2.004,1,10536895
2018,12,111524768,0.005,1,10525004
2018,12,111529649,2,1,10536896
2018,4,111529655,0.022,1,10536897
2018,12,111529695,0.005,1,10536898
2018,4,111529716,1,1,10536899
2018,4,111529720,0.007,1,10536900
2018,5,111529769,27.003,1,10536901
2018,12,111529814,1.007,1,10536904
2018,12,111529890,0.007,1,10532917
2018,4,111523094,2.002,1,10536906
2018,4,111529948,0.007,1,10536907
2018,17,107289732,,,9810888
2018,16,107281084,1,9,9814013
2018,5,107289835,1,9,9810906
2018,12,107285639,1,11,9814015
2018,12,107290256,0.001,1,9810944
2018,12,107281452,30.008,1,9814046
2018,4,107281466,0.023,1,9814051
2018,11,107285999,118,1,9805720
2018,12,107281765,17.005,1,9810973
2018,9,107286472,2,9,9810993
2018,12,107286575,1.002,1,9810998
2018,17,107291024,,,9811002
2018,2,107286754,0.033,1,9805780
2018,5,107286775,11.098,1,9814094
2018,2,107282213,28.093,1,9811024
2018,17,107291299,4,9,9811034
2018,12,107282277,0.008,1,9814101
2018,4,107282323,,,9814105
2018,4,107291465,,,9814106
2018,4,107282619,1,11,9814114
2018,5,107292307,5,9,9811100
2018,12,107287688,2.078,1,9805821
2018,12,107288183,,,9811112
2018,5,107283785,,,9814155
2018,5,107293418,1.054,1,9814166
2018,12,107293645,,,9811143
2018,12,107288502,0.003,1,9805852
2018,4,107284192,,,9811151
2018,17,107294278,,,9805865
2018,16,107294335,,,9811165
2018,4,107294674,6.008,1,9814208
2018,17,109542081,,,10200543
2018,4,109548224,3,9,10194522
2018,4,109548364,23.002,1,10200622
2018,12,109549045,1,9,10194552
2018,12,109543310,1,9,10203907
2018,12,109549198,1,9,10203910
2018,12,109543651,2,9,10200712
2018,4,109554789,1,9,10194595
2018,4,109555325,2,9,10203945
2018,4,109555348,6,1,10200740
2018,4,109555655,1,1,10200752
2018,4,109556920,1,11,10200823
2018,4,109552472,0.077,1,10204035
2018,17,109552499,,,10204037
2018,4,107285637,5.002,1,9805668
2018,17,107281023,,,9814003
2018,4,107289759,1,11,9805659
2018,12,107289852,0.009,1,9810907
2018,5,107285733,15.005,1,9805670
2018,17,107290060,5.007,1,9810926
2018,4,107290241,1.005,1,9814039
2018,4,107285958,0.001,1,9805708
2018,12,107281499,5.047,1,9814056
2018,12,107286119,16,1,9805725
2018,4,107281617,0.001,1,9814059
2018,12,107286214,0.001,1,9810966
2018,4,107290608,35.008,1,9814061
2018,17,107286356,,,9805741
2018,12,107281850,9.089,1,9805746
2018,17,107286617,,,9805765
2018,17,107291020,,,9811001
2018,17,107286652,,,9805768
2018,2,107291112,1,9,9805771
2018,5,107291177,8,1,9805777
2018,12,107282207,10.092,1,9811022
2018,12,107291374,,,9811040
2018,12,107282715,1,11,9814115
2018,17,107282819,,,9811081
2018,12,107283014,0.002,1,9814136
2018,2,107293302,0.001,1,9814164
2018,2,107288482,,,9805850
2018,4,107293636,,,9805851
2018,17,107294282,,,9805866
2018,5,107288768,13.001,1,9811168
2018,4,107288789,1,1,9814185
2018,8,107294023,1,9,9805878
2018,12,107289045,0.001,1,9814212
2018,2,107294819,18.003,1,9811218
2018,17,107294854,,,9805944
2018,12,107304946,1,1,9814269
2018,17,107295645,,,9806006
2018,17,107301034,,,9806008
2018,17,107301046,,,9816315
2018,4,107301138,45.093,1,9814286
2018,17,107295746,,,9814285
2018,12,107295753,0.047,1,9814287
2018,5,107305394,1,9,9814299
2018,12,107295881,1.038,1,9806025
2018,5,107301385,12.003,1,9806029
2018,15,107301399,1,9,9816345
2018,4,107305529,1,9,9816349
2018,12,107301447,1,1,9806033
2018,4,107301563,1,9,9814313
2018,12,107301592,1,11,9806037
2018,12,107301723,2,9,9806044
2018,4,107296280,1,11,9816360
2018,12,107302082,1,9,9816368
2018,12,107302287,1,9,9816379
2018,17,107302428,,,9816385
2018,5,107296719,187.308,1,9814338
2018,4,107306921,,,9816399
2018,8,107303109,461.301,9,9816432
2018,1,107303437,1.004,1,9816459
2018,4,107303555,0.003,1,9816465
2018,2,107307389,0.002,1,9806115
2018,12,107298501,0.001,1,9816537
2018,4,107298720,16.004,1,9814434
2018,12,111483833,10.002,1,10536268
2018,16,111483861,1,9,10536276
2018,4,111502351,4.068,1,10536511
2018,12,111502385,66.049,1,10536513
2018,16,111502805,88,9,10536524
2018,4,111511653,1.011,1,10532621
2018,4,111503160,0.001,1,10536531
2018,12,111521302,0.003,1,10532783
2018,4,111507664,0.001,1,10524806
2018,17,111517892,,,10536755
2018,4,111517894,0.009,1,10536756
2018,17,111508854,,,10524913
2018,16,111522349,1,9,10524914
2018,17,111522366,,,10532864
2018,12,111522368,4.005,1,10532865
2018,17,111522386,,,10532866
2018,5,111522387,0.008,1,10532867
2018,17,111518492,,,10536804
2018,5,115099299,5,1,11135106
2018,16,115099299,12,1,11135105
2018,12,115090692,4,1,11141288
2018,17,115092429,1,3,11141330
2018,12,115092472,0,1,11135167
2018,4,107324288,14.004,1,9821727
2018,4,111558646,2.034,1,10526017
2018,4,107316238,12.002,1,9821731
2018,17,107313105,,,9816945
2018,4,107320545,0.003,1,9814733
2018,4,107315495,0.001,1,9816956
2018,5,107320681,7.004,1,9816974
2018,5,107315553,1,11,9821644
2018,12,107320760,27.001,1,9821651
2018,4,107315570,1,11,9821652
2018,12,107313407,1,11,9816996
2018,12,107320794,1,11,9821656
2018,5,107321057,1,11,9817029
2018,5,107313745,1,11,9817036
2018,12,107321480,0.001,1,9821724
2018,12,107324343,45,1,9817090
2018,12,107321769,0.001,1,9817101
2018,12,107321854,1.001,1,9821756
2018,12,107324678,1.003,1,9817126
2018,17,107321940,,,9821778
2018,12,107324736,0.005,1,9817140
2018,12,107324745,0.007,1,9817143
2018,12,107324764,1.006,1,9817148
2018,12,107324981,2.001,1,9814980
2018,12,107322440,10.021,1,9821869
2018,5,107316978,110.004,1,9815005
2018,17,107322801,1,1,9821896
2018,5,107325422,59.088,1,9817257
2018,12,107322826,3.049,1,9821900
2018,12,107325497,,,9815039
2018,1,107322896,,,9817268
2018,2,107317251,,,9815042
2018,12,107317264,,,9817271
2018,4,107325563,,,9821913
2018,4,107325565,0.002,1,9817273
2018,4,107325870,0.016,1,9815049
2018,17,107326127,,,9815057
2018,17,107323412,,,9817296
2018,17,107317604,,,9815059
2018,17,107323452,,,9821939
2018,17,107326223,,,9817301
2018,17,107317640,,,9815060
2018,4,107326411,2.001,1,9817311
2018,5,107326766,25.003,1,9817327
2018,16,107326968,1,9,9817335
2018,16,107326979,0.005,1,9821965
2018,4,107329250,1.009,1,9821969
2018,4,107329249,,,9821968
2018,12,107327210,0.084,1,9821974
