"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2018,122818516,126245545,24,37802983
2018,122735193,126168218,24,37776767
2018,122747353,126158627,18,37769598
2018,122747353,126158625,18,37769597
2018,122747353,126158626,18,37769600
2018,122747796,126168934,24,37772844
2018,122747796,126168933,24,37769744
2018,122735939,126168934,25,37777017
2018,122735939,126168933,18,37777016
2018,122726284,126154696,1,37767227
2018,122731661,126160238,22,37767380
2018,122736427,126155095,3,37767381
2018,122736546,126160351,3,37770597
2018,122731755,126148129,24,37775476
2018,122727144,126155281,1,37770773
2018,122727147,126160556,1,37770776
2018,122727152,126160563,1,37770782
2018,122736687,126148277,16,37767541
2018,122731990,126148372,16,37775638
2018,122736816,126155407,18,37767585
2018,122727359,126148435,24,37770878
2018,122732115,126148500,24,37770907
2018,122732115,126148501,24,37770906
2018,122732238,126161054,19,37775710
2018,122737103,126161054,19,37775711
2018,122737114,126161066,18,37767667
2018,122727640,126161066,18,37770972
2018,122737124,126148665,1,37767669
2018,122727718,126155647,1,37770996
2018,122733791,126163664,3,37772041
2018,122730666,126163872,21,37768745
2018,122739981,126166367,16,37768749
2018,122740218,126166576,10,37768823
2018,122731004,126164257,24,37772263
2018,122731004,126166756,24,37772258
2018,122731004,126166755,24,37772262
2018,122731004,126166757,16,37768881
2018,122731004,126164258,24,37768882
2018,122731004,126164263,24,37772259
2018,122731004,126164265,24,37772257
2018,122731004,126164261,24,37772260
2018,122731004,126164256,24,37772264
2018,122731004,126164259,24,37772261
2018,122731090,126164341,1,37772279
2018,122746186,126169996,24,37769097
2018,122746215,126170007,18,37769120
2018,122746215,126170006,1,37769119
2018,122746241,126167484,1,37769132
2018,122746319,126170048,16,37769166
2018,122746319,126170047,16,37769167
2018,122746443,126167692,3,37769246
2018,122746511,126167766,24,37769297
2018,122746511,126167768,18,37769296
2018,122746513,126167766,24,37769304
2018,122746511,126167770,18,37769289
2018,122746509,126167777,18,37769287
2018,122746513,126167768,24,37769302
2018,122746511,126167777,1,37769290
2018,122746509,126167770,18,37769279
2018,122746511,126167771,18,37769292
2018,122746513,126167770,18,37769308
2018,122746511,126167775,24,37769291
2018,122746513,126167767,18,37769307
2018,122746509,126167767,18,37769281
2018,122746509,126167771,18,37769285
2018,122746509,126167775,1,37769280
2018,122746509,126167768,18,37769286
2018,122746509,126167778,18,37769284
2018,122746513,126167777,18,37769306
2018,122746513,126167772,18,37769305
2018,122746511,126167778,18,37769295
2018,122746513,126167771,18,37769299
2018,122746511,126167772,18,37769294
2018,122746513,126167778,18,37769303
2018,122746509,126167766,18,37769283
2018,122746509,126167774,18,37769288
2018,122746513,126167775,18,37769301
2018,122746511,126167767,18,37769293
2018,122746513,126167774,18,37769300
2018,122746509,126167772,18,37769282
2018,122746511,126167774,18,37769298
2018,122746657,126167879,18,37769349
2018,122746715,126167907,24,37769363
2018,122746715,126167906,24,37769361
2018,122747006,126168171,3,37769458
2018,122735435,126170458,16,37772690
2018,122735435,126170457,16,37772689
2018,125067146,128565468,24,38737066
2018,125067146,128565470,24,38731199
2018,125067146,128565469,24,38734578
2018,125067146,128565467,24,38737067
2018,125067189,128559259,24,38737085
2018,122736242,126147856,15,37767336
2018,122736242,126147855,18,37767335
2018,122736259,126160121,24,37767340
2018,122736314,126147893,1,37775395
2018,122731582,126147893,1,37775394
2018,122736324,126155021,22,37775398
2018,122731668,126155098,19,37767387
2018,122731763,126160364,24,37775485
2018,122726970,126160364,24,37770610
2018,122736561,126148144,21,37767434
2018,122736570,126155202,1,37767443
2018,122736593,126155226,1,37767464
2018,122736596,126148180,24,37767466
2018,122736672,126155290,1,37775586
2018,122736685,126160574,1,37767540
2018,122736692,126155300,1,37767544
2018,122732088,126148477,18,37767599
2018,122727662,126148670,14,37767671
2018,125067280,128563694,14,38737158
2018,122737328,126148844,3,37767792
2018,122727951,126155755,18,37771150
2018,122727951,126155756,18,37771151
2018,122727951,126155757,18,37767803
2018,122737402,126161388,3,37767853
2018,125067280,128559405,14,38737157
2018,122732462,126161479,1,37767894
2018,122728122,126161508,16,37771253
2018,122728168,126155866,18,37771266
2018,122737568,126161572,11,37775859
2018,122737613,126155915,25,37771290
2018,122728243,126155916,25,37771292
2018,122737613,126155916,21,37775867
2018,122728243,126155915,21,37771291
2018,122737830,126149310,18,37771340
2018,122737830,126161865,18,37771339
2018,122737830,126161864,18,37771341
2018,122732809,126156160,24,37775903
2018,122732809,126156161,24,37771363
2018,122738337,126164839,24,37768117
2018,122738408,126162539,16,37771524
2018,122738616,126162726,17,37771647
2018,122738744,126156588,1,37768275
2018,125067477,128565774,17,38737275
2018,122733295,126165357,1,37776119
2018,122729742,126165357,1,37768332
2018,122729744,126165357,1,37771791
2018,122738983,126156744,3,37776171
2018,122738990,126163100,1,37768388
2018,122729876,126165467,24,37771862
2018,122739154,126156875,3,37771956
2018,122733638,126165794,24,37768515
2018,122730356,126165883,1,37768524
2018,122739461,126165898,1,37768536
2018,118061154,121391272,3,36049303
2018,118061192,121391301,3,36049314
2018,118061217,121391329,3,36049318
2018,118061240,121391358,3,36049326
2018,118061256,121391373,16,36049330
2018,118061280,121391397,21,36049346
2018,122739468,126163539,1,37768539
2018,122730380,126165911,1,37768551
2018,122730380,126165910,24,37768552
2018,122730563,126166214,17,37768656
2018,122739916,126157312,5,37776382
2018,122730669,126163876,18,37772137
2018,122730671,126163876,18,37772138
2018,122740023,126157361,1,37768768
2018,122730919,126157516,24,37776473
2018,122734207,126164175,16,37776478
2018,122740521,126164380,24,37768928
2018,122566003,126001817,18,37708182
2018,122568701,126004681,21,37704034
2018,122573606,126004686,1,37704036
2018,122566022,125996127,17,37708190
2018,122573657,126004731,16,37708199
2018,122574191,126005276,21,37708357
2018,122569363,125996709,3,37704203
