"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2018,8004221,20617,3,2018,"I",01-MAR-03,"Y","F","C","2018_03_WA0060400_NIBRS",50491699,0
2018,8004237,20623,4,2018,"I",01-APR-04,"Y","F","C","2018_04_WA0080000_NIBRS",47838657,0
2018,8004284,20635,4,2018,"I",01-APR-04,"Y","F","C","2018_04_WA0110100_NIBRS",24300178,0
2018,8005453,20843,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_WA0370300_NIBRS",48972243,0
2018,8005730,20889,4,2018,"I",01-APR-04,"Y","F","C","2018_04_WADI05900_NIBRS",27886584,0
2018,7957769,20594,3,2018,"I",01-MAR-03,"Y","F","C","2018_03_WA0010100_NIBRS",31306350,0
2018,7960131,20657,4,2018,"I",01-APR-04,"Y","F","C","2018_04_WA0140800_NIBRS",30487428,0
2018,7960153,20666,3,2018,"I",01-MAR-03,"Y","F","C","2018_03_WA0170100_NIBRS",47692730,0
2018,7960159,20679,3,2018,"I",01-MAR-03,"Y","F","C","2018_03_WA0171500_NIBRS",24298990,0
2018,7960300,20722,3,2018,"I",01-MAR-03,"Y","F","C","2018_03_WA0210200_NIBRS",30495911,0
2018,7960329,20750,1,2018,"I",01-JAN-01,"Y","F","C","2018_01_WA0241000_NIBRS",18997406,0
2018,7960378,20799,3,2018,"I",01-MAR-03,"Y","F","C","2018_03_WA0310700_NIBRS",46892715,0
2018,7961416,20814,3,2018,"I",01-MAR-03,"Y","F","C","2018_03_WA0320400_NIBRS",50485050,0
2018,7961898,20865,3,2018,"I",01-MAR-03,"Y","F","C","2018_03_WA0390200_NIBRS",46898704,0
2018,7961964,20675,3,2018,"I",01-MAR-03,"Y","F","C","2018_03_WA0171100_NIBRS",47825153,0
2018,8005464,20845,4,2018,"I",01-APR-04,"Y","F","C","2018_04_WA0370500_NIBRS",30516461,0
2018,8127149,23173,7,2018,"I",01-JUL-07,"Y","F","C","2018_07_WA0291000_NIBRS",24309536,0
2018,8125209,20836,6,2018,"I",01-JUN-06,"Y","F","C","2018_06_WA0360000_NIBRS",49472459,0
2018,8026716,20657,5,2018,"I",01-MAY-05,"Y","F","C","2018_05_WA0140800_NIBRS",21771737,0
2018,8026752,20717,5,2018,"I",01-MAY-05,"Y","F","C","2018_05_WA0200100_NIBRS",50485296,0
2018,8026753,20718,5,2018,"I",01-MAY-05,"Y","F","C","2018_05_WA0200200_NIBRS",50481698,0
2018,8026762,20724,4,2018,"I",01-APR-04,"Y","F","C","2018_04_WA0210400_NIBRS",24310870,0
2018,8026763,20727,5,2018,"I",01-MAY-05,"Y","F","C","2018_05_WA0211000_NIBRS",46347003,0
2018,8026775,20754,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_WA0250100_NIBRS",20983384,0
2018,8026823,20799,5,2018,"I",01-MAY-05,"Y","F","C","2018_05_WA0310700_NIBRS",47705818,0
2018,8026824,20795,5,2018,"I",01-MAY-05,"Y","F","C","2018_05_WA0310300_NIBRS",47840612,0
2018,8027349,20811,5,2018,"I",01-MAY-05,"Y","F","C","2018_05_WA0320100_NIBRS",50498379,0
2018,8027350,20816,5,2018,"I",01-MAY-05,"Y","F","C","2018_05_WA0320900_NIBRS",46865089,0
2018,8027419,20847,5,2018,"I",01-MAY-05,"Y","F","C","2018_05_WA0370800_NIBRS",50473920,0
2018,8027513,20807,5,2018,"Z",01-MAY-05,"Y","F","C","2018_05_WA0311600_NIBRS",21060541,0
2018,8049816,20787,6,2018,"I",01-JUN-06,"Y","F","C","2018_06_WA0290400_NIBRS",47695758,0
2018,8049207,20711,6,2018,"I",01-JUN-06,"Y","F","C","2018_06_WA0190100_NIBRS",46891412,0
2018,8049212,20717,6,2018,"I",01-JUN-06,"Y","F","C","2018_06_WA0200100_NIBRS",50480752,0
2018,8049229,20765,6,2018,"I",01-JUN-06,"Y","F","C","2018_06_WA0270300_NIBRS",50477280,0
2018,8049906,20821,6,2018,"I",01-JUN-06,"Y","F","C","2018_06_WA0330200_NIBRS",50489827,0
2018,8049920,20818,5,2018,"I",01-MAY-05,"Y","F","C","2018_05_WA0321500_NIBRS",49459098,0
2018,8051623,20847,6,2018,"I",01-JUN-06,"Y","F","C","2018_06_WA0370800_NIBRS",50470223,0
2018,7934734,20594,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_WA0010100_NIBRS",18929757,0
