"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
205932018,20593,2018,"WA0010000","WA0010000","","N","N",,"I","ADAMS","ADAMS CO SO RITZVILLE","Adams","","A",53,"Washington","WA","WA","9","Pacific","4","West","Region IV","County",9809,23398,"WAUCR0001","Washington Association of Sheriffs and Police Chiefs Uniform Crime Reporting Program Criminal Justice Information Support","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",15,9,24,0,10,10,0,0,01-AUG-04,01-OCT-10,01-OCT-10,01-AUG-18,01-JAN-13,01-JAN-13,"N","ADAMS","Non-MSA","Y","Y","Y"
205942018,20594,2018,"WA0010100","WA0010100","","N","N",,"I","OTHELLO","OTHELLO PD","Othello","","A",53,"Washington","WA","WA","9","Pacific","4","West","Region IV","City",8247,23398,"WAUCR0001","Washington Association of Sheriffs and Police Chiefs Uniform Crime Reporting Program Criminal Justice Information Support","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",15,2,17,1,5,6,0,0,01-AUG-04,01-AUG-10,01-AUG-10,01-FEB-19,01-JAN-13,01-JAN-13,"N","ADAMS","Non-MSA","Y","Y","Y"
205952018,20595,2018,"WA0010200","WA0010200","","N","N",,"I","RITZVILLE","RITZVILLE PD","Ritzville","","A",53,"Washington","WA","WA","9","Pacific","4","West","Region IV","City",1631,23398,"WAUCR0001","Washington Association of Sheriffs and Police Chiefs Uniform Crime Reporting Program Criminal Justice Information Support","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",4,0,4,0,0,0,0,0,01-AUG-04,01-JUN-11,01-JUN-11,01-AUG-18,01-JAN-13,01-JAN-13,"N","ADAMS","Non-MSA","Y","Y","Y"
205962018,20596,2018,"WA0020000","WA0020000","","N","N",,"I","ASOTIN","ASOTIN CO SO ASOTIN","Asotin","","A",53,"Washington","WA","WA","9","Pacific","4","West","Region IV","County",14024,23398,"WAUCR0001","Washington Association of Sheriffs and Police Chiefs Uniform Crime Reporting Program Criminal Justice Information Support","Y",21,"9C","MSA counties from 10,000 thru 24,999","9","MSA Counties","N",3,"R","Y",12,13,25,1,4,5,0,0,01-AUG-04,01-MAY-08,01-MAY-08,01-AUG-18,01-JAN-13,01-JAN-13,"N","ASOTIN","Lewiston, ID-WA","Y","Y","Y"
205972018,20597,2018,"WA0020100","WA0020100","","N","N",,"I","CLARKSTON","CLARKSTON PD","Clarkston","","A",53,"Washington","WA","WA","9","Pacific","4","West","Region IV","City",7417,23398,"WAUCR0001","Washington Association of Sheriffs and Police Chiefs Uniform Crime Reporting Program Criminal Justice Information Support","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",14,1,15,0,1,1,0,0,01-AUG-04,01-APR-08,01-APR-08,01-AUG-18,01-JAN-13,01-JAN-13,"N","ASOTIN","Lewiston, ID-WA","Y","Y","Y"
205982018,20598,2018,"WA0020200","WA0020200","","N","N",,"I","ASOTIN","ASOTIN PD","Asotin","","A",53,"Washington","WA","WA","9","Pacific","4","West","Region IV","City",1301,23398,"WAUCR0001","Washington Association of Sheriffs and Police Chiefs Uniform Crime Reporting Program Criminal Justice Information Support","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",2,0,2,0,0,0,0,0,01-AUG-04,01-JAN-12,01-JAN-12,01-FEB-19,01-JAN-13,01-JAN-13,"N","ASOTIN","Lewiston, ID-WA","Y","Y","Y"
205992018,20599,2018,"WA0030000","WA0030000","","N","N",,"I","BENTON","BENTON CO SO PROSSER","Benton","","A",53,"Washington","WA","WA","9","Pacific","4","West","Region IV","County",40773,23398,"WAUCR0001","Washington Association of Sheriffs and Police Chiefs Uniform Crime Reporting Program Criminal Justice Information Support","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","Y",61,85,146,2,45,47,0,0,01-AUG-04,01-JAN-11,01-APR-11,01-AUG-18,01-JAN-13,01-JAN-13,"N","BENTON","Kennewick-Richland, WA","Y","Y","Y"
206002018,20600,2018,"WA0030100","WA0030100","","N","N",,"I","KENNEWICK","KENNEWICK PD","Kennewick","","A",53,"Washington","WA","WA","9","Pacific","4","West","Region IV","City",82687,23398,"WAUCR0001","Washington Association of Sheriffs and Police Chiefs Uniform Crime Reporting Program Criminal Justice Information Support","N",7,"3","Cities from 50,000 thru 99,999","3","Cities from 50,000 thru 99,999","N",2,"R","Y",96,2,98,5,13,18,0,0,01-AUG-04,01-JAN-11,01-APR-11,01-AUG-18,01-JAN-13,01-JAN-13,"N","BENTON","Kennewick-Richland, WA","Y","Y","Y"
206012018,20601,2018,"WA0030200","WA0030200","","N","N",,"I","RICHLAND","LE","Richland","","A",53,"Washington","WA","WA","9","Pacific","4","West","Region IV","City",57450,23398,"WAUCR0001","Washington Association of Sheriffs and Police Chiefs Uniform Crime Reporting Program Criminal Justice Information Support","N",7,"3","Cities from 50,000 thru 99,999","3","Cities from 50,000 thru 99,999","N",2,"R","Y",62,1,63,3,13,16,0,0,01-AUG-04,01-JAN-11,01-JAN-11,01-AUG-18,01-JAN-13,01-JAN-13,"N","BENTON","Kennewick-Richland, WA","Y","Y","Y"
206022018,20602,2018,"WA0030300","WA0030300","","N","N",,"I","PROSSER","PROSSER PD","Prosser","","A",53,"Washington","WA","WA","9","Pacific","4","West","Region IV","City",6342,23398,"WAUCR0001","Washington Association of Sheriffs and Police Chiefs Uniform Crime Reporting Program Criminal Justice Information Support","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",13,0,13,1,1,2,0,0,01-AUG-04,01-JUN-12,01-JUN-12,01-AUG-18,01-JAN-13,01-JAN-13,"N","BENTON","Kennewick-Richland, WA","Y","Y","Y"
