"DATA_YEAR","OFFENSE_ID","INCIDENT_ID","OFFENSE_TYPE_ID","ATTEMPT_COMPLETE_FLAG","LOCATION_ID","NUM_PREMISES_ENTERED","METHOD_ENTRY_CODE"
2019,149208895,123333233,14,"C",20,,""
2019,149208896,123333233,5,"C",20,,""
2019,149211839,123329616,49,"C",20,,"F"
2019,149211856,123333363,45,"C",20,,""
2019,149211940,123333434,5,"C",20,,""
2019,149211938,123333434,27,"C",20,,""
2019,149212010,123329666,21,"C",20,,""
2019,149212034,123333515,46,"C",20,,""
2019,149212038,123333522,45,"C",18,,""
2019,149212133,123333599,5,"C",13,,""
2019,149209119,123333640,47,"C",20,,""
2019,149212177,123333640,49,"C",20,,"F"
2019,149212596,123333986,49,"C",20,,"F"
2019,149212652,123334032,21,"C",20,,""
2019,149212663,123334042,14,"C",20,,""
2019,149212798,123334144,14,"C",24,,""
2019,149212799,123334144,5,"C",24,,""
2019,149209569,123330120,5,"C",24,,""
2019,149212801,123330120,14,"C",24,,""
2019,149212810,123334152,27,"C",20,,""
2019,149212814,123334156,14,"A",20,,""
2019,149212820,123330132,46,"C",25,,""
2019,149212823,123334163,21,"C",20,,""
2019,149209589,123334164,45,"C",20,,""
2019,149209596,123334169,41,"C",23,,""
2019,149212841,123330147,5,"C",20,,""
2019,149212840,123330147,7,"C",20,,""
2019,149212912,123330191,45,"C",20,,""
2019,149209647,123334233,51,"C",20,,""
2019,149209648,123334233,5,"C",20,,""
2019,149212918,123334235,21,"C",18,,""
2019,149212933,123334245,14,"C",20,,""
2019,149212973,123334279,46,"C",20,,""
2019,149209684,123334281,45,"C",41,,""
2019,149212983,123334289,49,"C",20,,"F"
2019,149212992,123334298,21,"C",20,,""
2019,149212993,123334299,41,"C",2,,""
2019,149213005,123330238,21,"C",13,,""
2019,149209698,123334315,5,"C",20,,""
2019,149213032,123334342,5,"C",20,,""
2019,149213043,123334350,14,"C",20,,""
2019,149213044,123334350,5,"C",20,,""
2019,149213051,123334356,45,"A",20,,""
2019,149213053,123330272,21,"C",20,,""
2019,149213063,123330278,46,"C",20,,""
2019,149213078,123334370,45,"C",13,,""
2019,149213077,123334370,21,"C",20,,""
2019,149213083,123334373,45,"C",21,,""
2019,149213089,123330290,21,"C",13,,""
2019,149209795,123334435,41,"C",7,,""
2019,149213165,123334437,5,"C",20,,""
2019,149213177,123334444,14,"C",13,,""
2019,149213184,123330335,41,"C",20,,""
2019,149213197,123334460,49,"C",19,1,"N"
2019,149209817,123334472,14,"C",20,,""
2019,149209826,123334483,21,"C",18,,""
2019,149213223,123334488,7,"C",13,,""
2019,149209839,123334495,14,"C",20,,""
2019,149209840,123334495,5,"C",20,,""
2019,149213265,123334516,2,"C",20,,""
2019,149213286,123330392,5,"C",20,,""
2019,149209880,123334542,14,"A",18,,""
2019,149209884,123334545,28,"C",24,,""
2019,149209885,123334545,45,"C",24,,""
2019,149209892,123334555,5,"C",20,,""
2019,149209891,123334555,14,"C",20,,""
2019,149213318,123334559,43,"C",20,,""
2019,149213326,123330416,41,"C",12,,""
2019,149209905,123334569,45,"C",20,,""
2019,149209920,123334583,5,"C",20,,""
2019,149209919,123334583,14,"C",20,,""
2019,149209921,123334588,49,"C",20,,"F"
2019,149209926,123330434,5,"C",20,,""
2019,149209925,123330434,14,"C",20,,""
2019,149209939,123334600,21,"C",18,,""
2019,149209954,123334610,49,"C",20,,"F"
2019,149209959,123334617,21,"C",20,,""
2019,149209960,123334617,49,"C",20,,"F"
2019,149209962,123330465,49,"C",20,,"F"
2019,149213391,123334621,21,"C",20,,""
2019,149213420,123334648,45,"C",13,,""
2019,149209988,123334650,45,"C",20,,""
2019,149209992,123330486,5,"C",10,,""
2019,149209991,123330486,7,"C",10,,""
2019,149213443,123334670,46,"C",8,,""
2019,149213474,123334705,14,"C",46,,""
2019,149213475,123334705,5,"C",46,,""
2019,149213482,123334709,14,"C",38,,""
2019,149213483,123334709,5,"C",38,,""
2019,149213489,123334712,45,"C",20,,""
2019,149210038,123330519,5,"C",18,,""
2019,149210037,123330519,14,"C",18,,""
2019,149213494,123334715,49,"C",19,1,"F"
2019,149213495,123334716,45,"C",12,,""
2019,149210052,123334724,46,"C",20,,""
2019,149213514,123334736,49,"C",41,,"F"
2019,149213524,123334743,36,"C",20,,""
2019,149210089,123334762,5,"C",24,,""
2019,149210088,123334762,14,"C",24,,""
2019,149213545,123334764,45,"C",20,,""
2019,149213551,123334768,5,"C",20,,""
2019,149213549,123334768,14,"C",20,,""
2019,149213573,123334788,46,"C",20,,""
2019,149213578,123330567,45,"C",24,,""
2019,149213580,123334792,5,"C",20,,""
2019,149213584,123334796,49,"C",20,,"F"
2019,149213586,123334798,46,"C",2,,""
2019,149213614,123334818,49,"C",20,,"F"
2019,149213631,123334831,5,"C",24,,""
2019,149213650,123334845,5,"C",20,,""
2019,149213699,123334881,2,"C",20,,""
2019,149213706,123334888,14,"C",25,,""
2019,149213707,123334888,5,"C",25,,""
2019,149213717,123334896,14,"C",13,,""
2019,149213728,123334907,46,"C",20,,""
2019,149213736,123334912,56,"C",20,,""
2019,149213745,123334921,45,"C",24,,""
2019,149210215,123334928,14,"C",24,,""
2019,149210216,123334928,5,"C",24,,""
2019,149213754,123334932,21,"C",19,,""
2019,149213758,123334936,5,"A",20,,""
2019,149210229,123334951,45,"C",20,,""
2019,149210238,123334959,63,"C",25,,""
2019,149213792,123334962,21,"C",13,,""
2019,149210256,123330689,14,"C",18,,""
2019,149210259,123334975,45,"C",18,,""
2019,149213816,123334980,5,"C",18,,""
2019,149213815,123334980,14,"C",18,,""
2019,149213852,123335003,14,"C",20,,""
2019,149213858,123335009,7,"C",25,,""
2019,149213861,123335010,45,"A",46,,""
2019,149213872,123335018,49,"C",20,,"N"
2019,149210319,123330748,27,"C",20,,""
2019,149213886,123335031,5,"C",24,,""
2019,149213890,123335035,41,"C",2,,""
2019,149213893,123335038,21,"C",18,,""
2019,149213900,123335046,45,"C",20,,""
2019,149213912,123335053,5,"C",20,,""
2019,149213911,123335053,14,"C",20,,""
2019,149213914,123335055,49,"C",20,,"F"
2019,149213920,123335059,41,"C",8,,""
2019,149213929,123335065,45,"C",41,,""
2019,149213932,123335068,49,"C",20,,"N"
