"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2019,125983432,43,299,,139897967
2019,125983432,16,80,,139897966
2019,125983432,63,45,,139897969
2019,125984695,37,200,,139893568
2019,125983432,45,200,,139897968
2019,125983432,7,219,,139897965
2019,125983469,9,0,,139897995
2019,125984746,52,0,,139893633
2019,125984801,6,60,,139898083
2019,125984801,16,870,,139893695
2019,125983540,3,1,,139898082
2019,125937688,8,1,,139835074
2019,125937688,63,65,,139835075
2019,125937712,38,50,,139835102
2019,125937743,3,30000,,139835149
2019,125937744,25,700,,139835156
2019,125937744,7,1200,,139835154
2019,125937744,22,0,,139835155
2019,125933819,3,2000,,139837423
2019,125933817,3,2000,15-JUL-19,139837422
2019,125937788,38,30,,139837455
2019,125938039,6,1180,,139835499
2019,125938039,26,180,,139835502
2019,125938038,6,1000,07-JUN-19,139835498
2019,125938039,16,510,,139835500
2019,125938039,23,1,,139835501
2019,125938060,54,1000,,139835523
2019,125938161,63,2,,139835656
2019,125938161,9,0,,139835654
2019,125938161,25,10,,139835655
2019,125938185,6,150,,139835688
2019,125938185,20,200,,139835691
2019,125938185,63,0,,139835692
2019,125938185,16,45,,139835690
2019,125938185,9,0,,139835689
2019,125938199,63,200,,139835711
2019,125938210,36,390,,139837693
2019,125938219,3,500,,139837698
2019,125938220,6,79,,139835734
2019,125938249,38,200,,139835769
2019,125938249,37,300,,139835767
2019,125952859,20,100,,139863152
2019,125952858,3,200,,139858485
2019,125957595,36,3400,,139858520
2019,125957595,6,500,,139863174
2019,125957624,3,2000,,139863204
2019,125957624,6,1800,,139858560
2019,125952911,63,2000,,139863209
2019,125952911,16,40,,139858568
2019,125952917,22,0,,139863214
2019,125952917,20,393,,139863213
2019,125952917,9,0,,139858578
2019,125952917,25,400,,139863212
2019,125952922,26,10000,,139858590
2019,125957648,4,1000,,139858598
2019,125957680,16,1,,139858647
2019,125952983,3,1,21-NOV-19,139863305
2019,125952984,3,1,,139863306
2019,125957714,35,1,,139863315
2019,125953010,17,1000,,139863330
2019,125953010,63,20,,139863336
