"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2019,17,118735108,,,11981029
2019,7,118725414,3,9,12147686
2019,12,118725527,23,1,11981181
2019,17,118739576,,,12147743
2019,17,118739597,,,11981193
2019,5,118739598,1,1,11981194
2019,12,118735561,0,1,12157823
2019,17,118735560,,,12157822
2019,12,118739646,2,1,11981221
2019,17,118739644,,,11981219
2019,17,118735616,,,12157836
2019,17,118735618,0,8,12157838
2019,17,118735646,,,12157855
2019,4,118735648,3,9,11981241
2019,17,118725652,,,12147798
2019,4,118735735,1,1,12157883
2019,17,118735736,,,12157884
2019,2,118735737,5,1,12157885
2019,17,118739897,,,12157927
2019,17,118735906,,,12157945
2019,17,118739969,,,11981357
2019,17,118739975,,,11981359
2019,9,118739984,2,9,11981367
2019,2,118739984,11,1,11981368
2019,11,118739984,103,1,11981369
2019,17,118739986,,,11981370
2019,17,118739990,,,11981372
2019,12,118739997,3,1,11981374
2019,17,118739996,,,11981373
2019,17,118740012,3,9,11981382
2019,17,118740011,,,11981381
2019,8,118740020,2,9,12157973
2019,4,118740020,1,1,12147849
2019,17,118740016,,,11981384
2019,17,118740038,,,11981391
2019,5,118725830,5,1,12147854
2019,12,118725830,0,1,12147855
2019,17,118736015,,,12157991
2019,8,118736092,4,9,12157997
2019,12,118736092,0,1,12157998
2019,4,118740254,4,9,11981449
2019,17,118740475,,,11981518
2019,5,118740476,7,1,11981519
2019,4,118726245,0,1,12147955
2019,17,118740478,,,11981520
2019,8,118740590,3,9,11981545
2019,17,118740630,,,11981566
2019,11,118736510,0,1,12158118
2019,16,118740702,3,9,11981600
2019,8,118740714,1,9,11981607
2019,16,118740736,3,9,11981623
2019,12,118726727,6,9,12158247
2019,4,118726727,1,1,11981741
2019,17,118741119,,,11981739
2019,17,118741129,,,12148111
2019,12,118737663,0,3,12158463
2019,5,118741908,,,11981956
2019,2,118737845,10,1,12158500
2019,4,118742429,6,1,11982049
2019,2,118742429,4,1,11982048
2019,17,118742428,,,11982047
2019,12,118738786,1,9,12148488
2019,17,118738785,,,12158728
2019,12,118728119,1,1,12148514
2019,4,118728119,0,1,12148515
2019,4,118728138,1,1,11982082
2019,17,118728137,,,12158770
2019,17,118738858,,,11982089
2019,12,118738859,1,1,12158775
2019,17,118738900,,,12158796
2019,12,118738901,14,1,12158797
2019,17,121683929,0,1,13129442
2019,4,121691776,3,1,13129523
2019,16,121691776,16,9,13129524
2019,8,121691789,0.84,1,13124964
2019,16,121691822,6,9,13124968
2019,8,121686979,2,9,13129544
2019,12,121686980,4,1,13134202
2019,4,121696167,1,9,13129669
2019,2,121696218,1,1,13129673
2019,12,121692850,0,1,13125082
2019,12,121696385,0,1,13129679
2019,4,121696385,0,1,13125091
2019,12,121696754,0,1,13129715
2019,12,121697107,2,1,13129744
2019,12,121697130,0.001,1,13129746
2019,8,121697176,1,9,13125138
2019,5,121697224,114,1,13129752
2019,17,121697224,49.2,1,13125141
2019,8,121697287,1,9,13129756
2019,12,121697287,1,1,13134349
2019,12,121693558,1,9,13125145
2019,4,121688702,0,1,13134374
2019,12,121699171,1,9,13129855
2019,4,121699171,1,9,13129856
2019,12,121699376,1,9,13134430
2019,12,121686443,1,1,13129447
2019,4,121686443,7,1,13134149
2019,12,121686541,1,1,13134156
2019,12,121691379,1,11,13134165
2019,17,121691385,5,9,13124917
2019,12,121691705,0,1,13134191
2019,12,121687188,1,1,13134221
2019,12,121687361,3,9,13125023
2019,16,121687361,1,9,13125024
2019,5,121695551,18,1,13134241
2019,5,121687395,59,1,13125028
2019,4,121695639,2,1,13129601
2019,12,121692213,3,1,13125013
2019,12,121692222,11,1,13125015
2019,5,121692654,37,1,13134270
2019,4,121697622,1,1,13129767
2019,12,121697622,0,1,13129768
2019,12,121688502,1,9,13134366
2019,12,121700931,1,1,13129928
2019,4,121700931,1,1,13134467
2019,5,121701043,4,1,13125302
2019,5,121701064,2,1,13134472
2019,16,121710246,1,1,13129951
2019,4,121710246,3,1,13129950
