"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2019,126877274,131518766,24,39462183
2019,126877903,131526285,14,39466510
2019,126877902,131526285,14,39466509
2019,126877289,131518776,18,39458130
2019,126877908,131526296,17,39462185
2019,126867070,131526296,19,39462190
2019,126867069,131526296,17,39462189
2019,126877924,131524457,3,39466522
2019,126867105,131526334,21,39462213
2019,126867111,131524479,18,39458160
2019,126877973,131524499,3,39466547
2019,126867121,131518826,24,39462225
2019,126877990,131524516,18,39466557
2019,126878021,131524545,21,39466577
2019,126878030,131526386,17,39466586
2019,126878029,131526386,17,39458189
2019,126877407,131524575,16,39458200
2019,126877473,131518905,9,39458251
2019,126878133,131524667,26,39466629
2019,126878193,131518939,18,39466657
2019,126877530,131518947,24,39458266
2019,126878208,131524744,18,39466667
2019,126878495,131530034,18,39466811
2019,126867426,131530036,18,39462438
2019,126867426,131530037,17,39462437
2019,126878502,131530046,18,39466813
2019,126877727,131519159,19,39462449
2019,126878513,131519159,15,39466817
2019,126882973,131526949,18,39458486
2019,126882973,131526950,18,39458485
2019,126883023,131530231,1,39462586
2019,126883023,131530230,18,39458512
2019,126879014,131530552,17,39462694
2019,126883322,131530552,17,39458685
2019,126887935,131527388,18,39462711
2019,126887938,131527388,18,39462714
2019,126887937,131527388,18,39462713
2019,126879063,131527388,18,39462712
2019,126879149,131527577,18,39458819
2019,132533871,137335227,18,41836341
2019,132533870,137335227,18,41841171
2019,132533873,137335227,18,41841174
2019,132533872,137335227,18,41841173
2019,132532331,137335227,18,41836339
2019,132532332,137335227,18,41836340
2019,132532328,137335227,18,41841172
2019,132533869,137335227,18,41841170
2019,132532329,137335227,18,41836337
2019,132532359,137333665,18,41836352
2019,132532367,137333671,7,41841188
2019,132532370,137333671,18,41846357
2019,132532388,137335269,26,41841191
2019,132532399,137333704,3,41846368
2019,132532400,137335276,18,41846370
2019,132532471,137333769,3,41846410
2019,126848843,131505799,1,39447397
2019,126841757,131490775,19,39447414
2019,126853808,131490775,19,39447415
2019,126853813,131505883,11,39451725
2019,126853815,131505883,24,39451726
2019,126853818,131500984,5,39447418
2019,132533969,137335327,24,41841211
