"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2019,8148632,20661,1,2019,"U",,"Y","G","C","2019_01_WA0150200_NIBRS",,0
2019,8156294,20661,2,2019,"U",,"Y","G","C","2019_02_WA0150200_NIBRS",,0
2019,8163956,20661,3,2019,"U",,"Y","G","C","2019_03_WA0150200_NIBRS",,0
2019,8171618,20661,4,2019,"U",,"Y","G","C","2019_04_WA0150200_NIBRS",,0
2019,8179280,20661,5,2019,"U",,"Y","G","C","2019_05_WA0150200_NIBRS",,0
2019,8186942,20661,6,2019,"U",,"Y","G","C","2019_06_WA0150200_NIBRS",,0
2019,8194604,20661,7,2019,"U",,"Y","G","C","2019_07_WA0150200_NIBRS",,0
2019,8202266,20661,8,2019,"U",,"Y","G","C","2019_08_WA0150200_NIBRS",,0
2019,8209928,20661,9,2019,"U",,"Y","G","C","2019_09_WA0150200_NIBRS",,0
2019,8217590,20661,10,2019,"U",,"Y","G","C","2019_10_WA0150200_NIBRS",,0
2019,8225252,20661,11,2019,"U",,"Y","G","C","2019_11_WA0150200_NIBRS",,0
2019,8232914,20661,12,2019,"U",,"Y","G","C","2019_12_WA0150200_NIBRS",,0
2019,8148683,20725,1,2019,"I",,"Y","G","C","2019_01_WA0210700_NIBRS",46334450,0
2019,8156345,20725,2,2019,"I",,"Y","G","C","2019_02_WA0210700_NIBRS",46880628,0
2019,8164007,20725,3,2019,"I",,"Y","G","C","2019_03_WA0210700_NIBRS",47705579,0
2019,8171669,20725,4,2019,"U",,"Y","G","C","2019_04_WA0210700_NIBRS",,0
2019,8179331,20725,5,2019,"Z",,"Y","G","C","2019_05_WA0210700_NIBRS",48987731,0
2019,8186993,20725,6,2019,"U",,"Y","G","C","2019_06_WA0210700_NIBRS",,0
2019,8194655,20725,7,2019,"U",,"Y","G","C","2019_07_WA0210700_NIBRS",,0
2019,8202317,20725,8,2019,"U",,"Y","G","C","2019_08_WA0210700_NIBRS",,0
2019,8209979,20725,9,2019,"U",,"Y","G","C","2019_09_WA0210700_NIBRS",,0
2019,8217641,20725,10,2019,"U",,"Y","G","C","2019_10_WA0210700_NIBRS",,0
2019,8225303,20725,11,2019,"U",,"Y","G","C","2019_11_WA0210700_NIBRS",,0
2019,8232965,20725,12,2019,"U",,"Y","G","C","2019_12_WA0210700_NIBRS",,0
2019,8148656,20687,1,2019,"I",,"Y","G","C","2019_01_WA0172400_NIBRS",66251803,0
2019,8156318,20687,2,2019,"I",,"Y","G","C","2019_02_WA0172400_NIBRS",66248844,0
2019,8163980,20687,3,2019,"I",,"Y","G","C","2019_03_WA0172400_NIBRS",66248854,0
2019,8171642,20687,4,2019,"I",,"Y","G","C","2019_04_WA0172400_NIBRS",71575540,0
2019,8179304,20687,5,2019,"I",,"Y","G","C","2019_05_WA0172400_NIBRS",66256732,0
2019,8186966,20687,6,2019,"I",,"Y","G","C","2019_06_WA0172400_NIBRS",66251817,0
2019,8194628,20687,7,2019,"I",,"Y","G","C","2019_07_WA0172400_NIBRS",66256739,0
2019,8202290,20687,8,2019,"I",,"Y","G","C","2019_08_WA0172400_NIBRS",66248865,0
2019,8209952,20687,9,2019,"I",,"Y","G","C","2019_09_WA0172400_NIBRS",71579845,0
2019,8217614,20687,10,2019,"I",,"Y","G","C","2019_10_WA0172400_NIBRS",66256749,0
2019,8225276,20687,11,2019,"I",,"Y","G","C","2019_11_WA0172400_NIBRS",66251821,0
2019,8232938,20687,12,2019,"I",,"Y","G","C","2019_12_WA0172400_NIBRS",66256756,0
2019,8148660,20693,1,2019,"I",,"Y","G","C","2019_01_WA0173200_NIBRS",66268807,0
2019,8156322,20693,2,2019,"I",,"Y","G","C","2019_02_WA0173200_NIBRS",60405632,0
2019,8163984,20693,3,2019,"I",,"Y","G","C","2019_03_WA0173200_NIBRS",58160643,0
2019,8171646,20693,4,2019,"I",,"Y","G","C","2019_04_WA0173200_NIBRS",64031189,0
2019,8179308,20693,5,2019,"I",,"Y","G","C","2019_05_WA0173200_NIBRS",66271871,0
2019,8186970,20693,6,2019,"I",,"Y","G","C","2019_06_WA0173200_NIBRS",58167262,0
2019,8194632,20693,7,2019,"I",,"Y","G","C","2019_07_WA0173200_NIBRS",71603549,0
2019,8202294,20693,8,2019,"I",,"Y","G","C","2019_08_WA0173200_NIBRS",66268784,0
2019,8209956,20693,9,2019,"I",,"Y","G","C","2019_09_WA0173200_NIBRS",71603580,0
2019,8217618,20693,10,2019,"I",,"Y","G","C","2019_10_WA0173200_NIBRS",70029522,0
2019,8225280,20693,11,2019,"I",,"Y","G","C","2019_11_WA0173200_NIBRS",70029529,0
2019,8232942,20693,12,2019,"I",,"Y","G","C","2019_12_WA0173200_NIBRS",71603559,0
2019,8148595,20620,1,2019,"Z",,"Y","G","C","2019_01_WA0061000_NIBRS",46903785,0
2019,8156257,20620,2,2019,"Z",,"Y","G","C","2019_02_WA0061000_NIBRS",46911085,0
2019,8163919,20620,3,2019,"Z",,"Y","G","C","2019_03_WA0061000_NIBRS",47721806,0
2019,8171581,20620,4,2019,"Z",,"Y","G","C","2019_04_WA0061000_NIBRS",64046922,0
2019,8179243,20620,5,2019,"Z",,"Y","G","C","2019_05_WA0061000_NIBRS",48987724,0
2019,8186905,20620,6,2019,"Z",,"Y","G","C","2019_06_WA0061000_NIBRS",50473320,0
2019,8194567,20620,7,2019,"Z",,"Y","G","C","2019_07_WA0061000_NIBRS",50473323,0
2019,8202229,20620,8,2019,"Z",,"Y","G","C","2019_08_WA0061000_NIBRS",64039987,0
2019,8209891,20620,9,2019,"Z",,"Y","G","C","2019_09_WA0061000_NIBRS",58173219,0
2019,8217553,20620,10,2019,"Z",,"Y","G","C","2019_10_WA0061000_NIBRS",60388812,0
2019,8225215,20620,11,2019,"Z",,"Y","G","C","2019_11_WA0061000_NIBRS",62117742,0
2019,8232877,20620,12,2019,"Z",,"Y","G","C","2019_12_WA0061000_NIBRS",64036422,0
2019,8149497,25414,1,2019,"U",,"Y","G","C","2019_01_WA0391700_NIBRS",,0
2019,8157159,25414,2,2019,"U",,"Y","G","C","2019_02_WA0391700_NIBRS",,0
2019,8164821,25414,3,2019,"U",,"Y","G","C","2019_03_WA0391700_NIBRS",,0
2019,8172483,25414,4,2019,"U",,"Y","G","C","2019_04_WA0391700_NIBRS",,0
2019,8180145,25414,5,2019,"U",,"Y","G","C","2019_05_WA0391700_NIBRS",,0
2019,8187807,25414,6,2019,"U",,"Y","G","C","2019_06_WA0391700_NIBRS",,0
2019,8195469,25414,7,2019,"U",,"Y","G","C","2019_07_WA0391700_NIBRS",,0
2019,8203131,25414,8,2019,"U",,"Y","G","C","2019_08_WA0391700_NIBRS",,0
2019,8210793,25414,9,2019,"U",,"Y","G","C","2019_09_WA0391700_NIBRS",,0
2019,8218455,25414,10,2019,"U",,"Y","G","C","2019_10_WA0391700_NIBRS",,0
2019,8226117,25414,11,2019,"U",,"Y","G","C","2019_11_WA0391700_NIBRS",,0
2019,8233779,25414,12,2019,"U",,"Y","G","C","2019_12_WA0391700_NIBRS",,0
2019,8148801,20889,1,2019,"U",,"Y","G","C","2019_01_WADI05900_NIBRS",,0
2019,8156463,20889,2,2019,"U",,"Y","G","C","2019_02_WADI05900_NIBRS",,0
2019,8164125,20889,3,2019,"U",,"Y","G","C","2019_03_WADI05900_NIBRS",,0
2019,8171787,20889,4,2019,"U",,"Y","G","C","2019_04_WADI05900_NIBRS",,0
2019,8179449,20889,5,2019,"U",,"Y","G","C","2019_05_WADI05900_NIBRS",,0
2019,8187111,20889,6,2019,"U",,"Y","G","C","2019_06_WADI05900_NIBRS",,0
2019,8194773,20889,7,2019,"U",,"Y","G","C","2019_07_WADI05900_NIBRS",,0
2019,8202435,20889,8,2019,"U",,"Y","G","C","2019_08_WADI05900_NIBRS",,0
2019,8210097,20889,9,2019,"U",,"Y","G","C","2019_09_WADI05900_NIBRS",,0
2019,8217759,20889,10,2019,"U",,"Y","G","C","2019_10_WADI05900_NIBRS",,0
2019,8225421,20889,11,2019,"U",,"Y","G","C","2019_11_WADI05900_NIBRS",,0
2019,8233083,20889,12,2019,"U",,"Y","G","C","2019_12_WADI05900_NIBRS",,0
2019,8149417,23173,1,2019,"U",,"Y","G","C","2019_01_WA0291000_NIBRS",,0
2019,8157079,23173,2,2019,"U",,"Y","G","C","2019_02_WA0291000_NIBRS",,0
