"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
205932019,20593,2019,"WA0010000","WA0010000","","N","N",,"I","ADAMS","ADAMS CO SO RITZVILLE","Adams","","A",53,"Washington","WA","WA","9","Pacific","4","West","Region IV","County",9781,23398,"WAUCR0001","Washington Association of Sheriffs and Police Chiefs Uniform Crime Reporting Program Criminal Justice Information Support","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",15,9,24,0,10,10,0,0,01-AUG-04,01-OCT-10,01-OCT-10,01-AUG-18,01-JAN-13,01-JAN-13,"N","ADAMS","Non-MSA","Y","Y","Y"
205942019,20594,2019,"WA0010100","WA0010100","","N","N",,"I","OTHELLO","OTHELLO PD","Othello","","A",53,"Washington","WA","WA","9","Pacific","4","West","Region IV","City",8388,23398,"WAUCR0001","Washington Association of Sheriffs and Police Chiefs Uniform Crime Reporting Program Criminal Justice Information Support","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",17,2,19,0,5,5,0,0,01-AUG-04,01-AUG-10,01-AUG-10,01-FEB-19,01-JAN-13,01-JAN-13,"N","ADAMS","Non-MSA","Y","Y","Y"
205952019,20595,2019,"WA0010200","WA0010200","","N","N",,"I","RITZVILLE","RITZVILLE PD","Ritzville","","A",53,"Washington","WA","WA","9","Pacific","4","West","Region IV","City",1645,23398,"WAUCR0001","Washington Association of Sheriffs and Police Chiefs Uniform Crime Reporting Program Criminal Justice Information Support","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",4,0,4,0,0,0,0,0,01-AUG-04,01-JUN-11,01-JUN-11,01-AUG-18,01-JAN-13,01-JAN-13,"N","ADAMS","Non-MSA","Y","Y","Y"
205962019,20596,2019,"WA0020000","WA0020000","","N","N",,"I","ASOTIN","ASOTIN CO SO ASOTIN","Asotin","","A",53,"Washington","WA","WA","9","Pacific","4","West","Region IV","County",13918,23398,"WAUCR0001","Washington Association of Sheriffs and Police Chiefs Uniform Crime Reporting Program Criminal Justice Information Support","Y",21,"9C","MSA counties from 10,000 thru 24,999","9","MSA Counties","N",3,"R","Y",12,14,26,1,4,5,0,0,01-AUG-04,01-MAY-08,01-MAY-08,01-AUG-18,01-JAN-13,01-JAN-13,"N","ASOTIN","Lewiston, ID-WA","Y","Y","Y"
205972019,20597,2019,"WA0020100","WA0020100","","N","N",,"I","CLARKSTON","CLARKSTON PD","Clarkston","","A",53,"Washington","WA","WA","9","Pacific","4","West","Region IV","City",7426,23398,"WAUCR0001","Washington Association of Sheriffs and Police Chiefs Uniform Crime Reporting Program Criminal Justice Information Support","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",14,1,15,0,1,1,0,0,01-AUG-04,01-APR-08,01-APR-08,01-AUG-18,01-JAN-13,01-JAN-13,"N","ASOTIN","Lewiston, ID-WA","Y","Y","Y"
205982019,20598,2019,"WA0020200","WA0020200","","N","N",,"I","ASOTIN","ASOTIN PD","Asotin","","A",53,"Washington","WA","WA","9","Pacific","4","West","Region IV","City",1299,23398,"WAUCR0001","Washington Association of Sheriffs and Police Chiefs Uniform Crime Reporting Program Criminal Justice Information Support","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",1,0,1,0,0,0,0,0,01-AUG-04,01-JAN-12,01-JAN-12,01-FEB-19,01-JAN-13,01-JAN-13,"N","ASOTIN","Lewiston, ID-WA","Y","Y","Y"
205992019,20599,2019,"WA0030000","WA0030000","","N","N",,"I","BENTON","BENTON CO SO PROSSER","Benton","","A",53,"Washington","WA","WA","9","Pacific","4","West","Region IV","County",40264,23398,"WAUCR0001","Washington Association of Sheriffs and Police Chiefs Uniform Crime Reporting Program Criminal Justice Information Support","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","Y",71,0,71,2,13,15,0,0,01-AUG-04,01-JAN-11,01-APR-11,01-AUG-18,01-JAN-13,01-JAN-13,"N","BENTON","Kennewick-Richland, WA","Y","Y","Y"
206002019,20600,2019,"WA0030100","WA0030100","","N","N",,"I","KENNEWICK","KENNEWICK PD","Kennewick","","A",53,"Washington","WA","WA","9","Pacific","4","West","Region IV","City",84072,23398,"WAUCR0001","Washington Association of Sheriffs and Police Chiefs Uniform Crime Reporting Program Criminal Justice Information Support","N",7,"3","Cities from 50,000 thru 99,999","3","Cities from 50,000 thru 99,999","N",2,"R","Y",96,3,99,6,13,19,0,0,01-AUG-04,01-JAN-11,01-APR-11,01-AUG-18,01-JAN-13,01-JAN-13,"N","BENTON","Kennewick-Richland, WA","Y","Y","Y"
206012019,20601,2019,"WA0030200","WA0030200","","N","N",,"I","RICHLAND","LE","Richland","","A",53,"Washington","WA","WA","9","Pacific","4","West","Region IV","City",58514,23398,"WAUCR0001","Washington Association of Sheriffs and Police Chiefs Uniform Crime Reporting Program Criminal Justice Information Support","N",7,"3","Cities from 50,000 thru 99,999","3","Cities from 50,000 thru 99,999","N",2,"R","Y",60,1,61,2,16,18,0,0,01-AUG-04,01-JAN-11,01-JAN-11,01-AUG-18,01-JAN-13,01-JAN-13,"N","BENTON","Kennewick-Richland, WA","Y","Y","Y"
206022019,20602,2019,"WA0030300","WA0030300","","N","N",,"I","PROSSER","PROSSER PD","Prosser","","A",53,"Washington","WA","WA","9","Pacific","4","West","Region IV","City",6388,23398,"WAUCR0001","Washington Association of Sheriffs and Police Chiefs Uniform Crime Reporting Program Criminal Justice Information Support","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",13,0,13,1,1,2,0,0,01-AUG-04,01-JUN-12,01-JUN-12,01-AUG-18,01-JAN-13,01-JAN-13,"N","BENTON","Kennewick-Richland, WA","Y","Y","Y"
206042019,20604,2019,"WA0030500","WA0030500","","N","N",,"I","WEST RICHLAND","WEST RICHLAND PD","West Richland","","A",53,"Washington","WA","WA","9","Pacific","4","West","Region IV","City",15343,23398,"WAUCR0001","Washington Association of Sheriffs and Police Chiefs Uniform Crime Reporting Program Criminal Justice Information Support","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",18,0,18,2,4,6,0,0,01-AUG-04,01-SEP-11,01-SEP-11,01-AUG-18,01-FEB-13,01-FEB-13,"N","BENTON","Kennewick-Richland, WA","Y","Y","Y"
206052019,20605,2019,"WA0040000","WA0040000","","N","N",,"I","CHELAN","CHELAN CO SO WENATCHEE","Chelan","","A",53,"Washington","WA","WA","9","Pacific","4","West","Region IV","County",42803,23398,"WAUCR0001","Washington Association of Sheriffs and Police Chiefs Uniform Crime Reporting Program Criminal Justice Information Support","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","Y",56,4,60,2,12,14,0,0,01-AUG-04,01-NOV-10,01-NOV-10,01-AUG-18,01-JAN-13,01-JAN-13,"N","CHELAN","Wenatchee, WA","Y","Y","Y"
206072019,20607,2019,"WA0040400","WA0040400","","N","N",,"I","WENATCHEE","WENATCHEE PD","Wenatchee","","A",53,"Washington","WA","WA","9","Pacific","4","West","Region IV","City",34513,23398,"WAUCR0001","Washington Association of Sheriffs and Police Chiefs Uniform Crime Reporting Program Criminal Justice Information Support","N",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",37,2,39,2,9,11,0,0,01-AUG-04,01-JUN-12,01-JUL-12,01-AUG-18,01-JAN-13,01-JAN-13,"N","CHELAN","Wenatchee, WA","Y","Y","Y"
206082019,20608,2019,"WA0050000","WA0050000","","N","N",,"I","CLALLAM","CLALLAM CO SO PORT ANGELES","Clallam","","A",53,"Washington","WA","WA","9","Pacific","4","West","Region IV","County",45437,23398,"WAUCR0001","Washington Association of Sheriffs and Police Chiefs Uniform Crime Reporting Program Criminal Justice Information Support","N",14,"8B","Non-MSA counties from 25,000 thru 99,999","8","Non-MSA Counties","N",3,"R","Y",33,2,35,4,6,10,0,0,01-AUG-04,01-JAN-11,01-APR-11,01-AUG-18,01-JAN-13,01-JAN-13,"N","CLALLAM","Non-MSA","Y","Y","Y"
